variables,units,values,description
mooring.line_breaking_load,N,[28848692.8 28848692.8 28848692.8],
mooring.line_cost_rate,USD/m,[1760.5853375 1760.5853375 1760.5853375],
mooring.line_transverse_added_mass,kg/m,[1. 1. 1.],
mooring.line_tangential_added_mass,kg/m,[0. 0. 0.],
mooring.line_transverse_drag,,[1.6 1.6 1.6],
mooring.line_tangential_drag,,[0.1 0.1 0.1],
mooring.mooring_nodes,m,"[[-8.37800000e+02  3.00752860e-06 -2.00000000e+02]
 [ 4.18899965e+02  7.25556104e+02 -2.00000000e+02]
 [ 4.18899965e+02 -7.25556104e+02 -2.00000000e+02]
 [-5.17500000e+01  1.85771789e-07 -1.40010000e+01]
 [ 2.58749986e+01  4.48168155e+01 -1.40010000e+01]
 [ 2.58749978e+01 -4.48168159e+01 -1.40010000e+01]]",
mooring.fairlead_nodes,m,"[[ 2.58749978e+01 -4.48168159e+01 -1.40010000e+01]
 [ 2.58749986e+01  4.48168155e+01 -1.40010000e+01]
 [-5.17500000e+01  1.85771789e-07 -1.40010000e+01]]",
mooring.fairlead,m,[14.001 14.001 14.001],
mooring.fairlead_radius,m,[51.75 51.75 51.75],
mooring.anchor_nodes,m,"[[ 4.18899965e+02 -7.25556104e+02 -2.00000000e+02]
 [ 4.18899965e+02  7.25556104e+02 -2.00000000e+02]
 [-8.37800000e+02  3.00752860e-06 -2.00000000e+02]]",
mooring.anchor_radius,m,[837.8 837.8 837.8],
env.rho_air,kg/m**3,[1.225],Density of air
env.mu_air,kg/m/s,[1.81e-05],Dynamic viscosity of air
env.shear_exp,,[0.12],Shear exponent of the wind.
env.speed_sound_air,m/s,[340.],Speed of sound in air.
env.weibull_k,,[2.],Shape parameter of the Weibull probability density function of the wind.
env.rho_water,kg/m**3,[1025.],Density of ocean water
env.mu_water,kg/m/s,[0.0013351],Dynamic viscosity of ocean water
env.water_depth,m,[200.],Water depth for analysis.  Values > 0 mean offshore
env.Hsig_wave,m,[4.52],Significant wave height
env.Tsig_wave,s,[9.45],Significant wave period
env.G_soil,N/m**2,[1.4e+08],Shear stress of soil
env.nu_soil,,[0.4],Poisson ratio of soil
costs.offset_tcc_per_kW,USD/kW,[0.],Offset to turbine capital cost
costs.bos_per_kW,USD/kW,[4053.],Balance of station/plant capital cost
costs.opex_per_kW,USD/kW/year,[137.],Average annual operational expenditures of the turbine
costs.wake_loss_factor,,[0.15],The losses in AEP due to waked conditions
costs.fixed_charge_rate,,[0.056],Fixed charge rate for coe calculation
costs.labor_rate,USD/h,[58.8],
costs.painting_rate,USD/m**2,[30.],
costs.blade_mass_cost_coeff,USD/kg,[14.6],
costs.hub_mass_cost_coeff,USD/kg,[3.9],
costs.pitch_system_mass_cost_coeff,USD/kg,[22.1],
costs.spinner_mass_cost_coeff,USD/kg,[11.1],
costs.lss_mass_cost_coeff,USD/kg,[11.9],
costs.bearing_mass_cost_coeff,USD/kg,[4.5],
costs.gearbox_mass_cost_coeff,USD/kg,[12.9],
costs.hss_mass_cost_coeff,USD/kg,[6.8],
costs.generator_mass_cost_coeff,USD/kg,[12.4],
costs.bedplate_mass_cost_coeff,USD/kg,[2.9],
costs.yaw_mass_cost_coeff,USD/kg,[8.3],
costs.converter_mass_cost_coeff,USD/kg,[18.8],
costs.transformer_mass_cost_coeff,USD/kg,[18.8],
costs.hvac_mass_cost_coeff,USD/kg,[124.],
costs.cover_mass_cost_coeff,USD/kg,[5.7],
costs.elec_connec_machine_rating_cost_coeff,USD/kW,[41.85],
costs.platforms_mass_cost_coeff,USD/kg,[17.1],
costs.tower_mass_cost_coeff,USD/kg,[2.9],
costs.controls_machine_rating_cost_coeff,USD/kW,[21.15],
costs.crane_cost,USD,[12000.],
costs.electricity_price,USD/kW/h,[0.04],
costs.reserve_margin_price,USD/kW/year,[120.],
costs.capacity_credit,,[0.],
costs.benchmark_price,USD/kW/h,[0.071],
costs.turbine_number,Unavailable,40.0,Number of turbines at plant
high_level_tower_props.tower_ref_axis,m,"[[  0.      0.     15.   ]
 [  0.      0.     15.01 ]
 [  0.      0.     28.   ]
 [  0.      0.     28.01 ]
 [  0.      0.     41.   ]
 [  0.      0.     41.01 ]
 [  0.      0.     54.   ]
 [  0.      0.     54.01 ]
 [  0.      0.     67.   ]
 [  0.      0.     67.01 ]
 [  0.      0.     80.   ]
 [  0.      0.     80.01 ]
 [  0.      0.     93.   ]
 [  0.      0.     93.01 ]
 [  0.      0.    106.   ]
 [  0.      0.    106.01 ]
 [  0.      0.    119.   ]
 [  0.      0.    119.01 ]
 [  0.      0.    132.   ]
 [  0.      0.    132.01 ]
 [  0.      0.    144.386]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
high_level_tower_props.hub_height,m,[150.],"Height of the hub in the global reference system, i.e. distance rotor center to ground."
af_3d.cl_corrected,,"[[[[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  ...

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]]


 [[[ 9.49690215e-05]
   [ 9.49690215e-05]
   [ 9.49690215e-05]]

  [[ 9.51151486e-03]
   [ 9.51151486e-03]
   [ 9.51151486e-03]]

  [[ 1.91168255e-02]
   [ 1.91168255e-02]
   [ 1.91168255e-02]]

  ...

  [[-1.89193823e-02]
   [-1.89193823e-02]
   [-1.89193823e-02]]

  [[-9.31784559e-03]
   [-9.31784559e-03]
   [-9.31784559e-03]]

  [[ 9.49690215e-05]
   [ 9.49690215e-05]
   [ 9.49690215e-05]]]


 [[[ 5.63075311e-05]
   [ 5.63075311e-05]
   [ 5.63075311e-05]]

  [[ 7.25076720e-02]
   [ 7.25076720e-02]
   [ 7.25076720e-02]]

  [[ 1.46221880e-01]
   [ 1.46221880e-01]
   [ 1.46221880e-01]]

  ...

  [[-1.46059055e-01]
   [-1.46059055e-01]
   [-1.46059055e-01]]

  [[-7.23700950e-02]
   [-7.23700950e-02]
   [-7.23700950e-02]]

  [[ 5.63075311e-05]
   [ 5.63075311e-05]
   [ 5.63075311e-05]]]


 ...


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 7.09078783e-02]
   [ 7.09078783e-02]
   [ 7.09078783e-02]]

  [[ 1.41815756e-01]
   [ 1.41815756e-01]
   [ 1.41815756e-01]]

  ...

  [[-1.41815756e-01]
   [-1.41815756e-01]
   [-1.41815756e-01]]

  [[-7.09078783e-02]
   [-7.09078783e-02]
   [-7.09078783e-02]]

  [[ 4.85722573e-18]
   [ 4.85722573e-18]
   [ 4.85722573e-18]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 7.09078783e-02]
   [ 7.09078783e-02]
   [ 7.09078783e-02]]

  [[ 1.41815756e-01]
   [ 1.41815756e-01]
   [ 1.41815756e-01]]

  ...

  [[-1.41815756e-01]
   [-1.41815756e-01]
   [-1.41815756e-01]]

  [[-7.09078783e-02]
   [-7.09078783e-02]
   [-7.09078783e-02]]

  [[ 4.85722573e-18]
   [ 4.85722573e-18]
   [ 4.85722573e-18]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 7.09078783e-02]
   [ 7.09078783e-02]
   [ 7.09078783e-02]]

  [[ 1.41815756e-01]
   [ 1.41815756e-01]
   [ 1.41815756e-01]]

  ...

  [[-1.41815756e-01]
   [-1.41815756e-01]
   [-1.41815756e-01]]

  [[-7.09078783e-02]
   [-7.09078783e-02]
   [-7.09078783e-02]]

  [[ 4.85722573e-18]
   [ 4.85722573e-18]
   [ 4.85722573e-18]]]]",Lift coefficient corrected with CCBlade.Polar.
af_3d.cd_corrected,,"[[[[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  ...

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]]


 [[[0.34034087]
   [0.34034087]
   [0.34034087]]

  [[0.34025231]
   [0.34025231]
   [0.34025231]]

  [[0.34001588]
   [0.34001588]
   [0.34001588]]

  ...

  [[0.34001588]
   [0.34001588]
   [0.34001588]]

  [[0.34025231]
   [0.34025231]
   [0.34025231]]

  [[0.34034087]
   [0.34034087]
   [0.34034087]]]


 [[[0.26353948]
   [0.26353948]
   [0.26353948]]

  [[0.26289933]
   [0.26289933]
   [0.26289933]]

  [[0.26117856]
   [0.26117856]
   [0.26117856]]

  ...

  [[0.26117856]
   [0.26117856]
   [0.26117856]]

  [[0.26289933]
   [0.26289933]
   [0.26289933]]

  [[0.26353948]
   [0.26353948]
   [0.26353948]]]


 ...


 [[[0.02464146]
   [0.02464146]
   [0.02464146]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  ...

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02464146]
   [0.02464146]
   [0.02464146]]]


 [[[0.02464146]
   [0.02464146]
   [0.02464146]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  ...

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02464146]
   [0.02464146]
   [0.02464146]]]


 [[[0.02464146]
   [0.02464146]
   [0.02464146]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  ...

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02464146]
   [0.02464146]
   [0.02464146]]]]",Drag coefficient corrected with CCBlade.Polar.
af_3d.cm_corrected,,"[[[[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  ...

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]]


 [[[-9.49690215e-05]
   [-9.49690215e-05]
   [-9.49690215e-05]]

  [[ 2.48279124e-03]
   [ 2.48279124e-03]
   [ 2.48279124e-03]]

  [[ 5.19547317e-03]
   [ 5.19547317e-03]
   [ 5.19547317e-03]]

  ...

  [[-6.70619854e-03]
   [-6.70619854e-03]
   [-6.70619854e-03]]

  [[-3.31630221e-03]
   [-3.31630221e-03]
   [-3.31630221e-03]]

  [[-9.49690215e-05]
   [-9.49690215e-05]
   [-9.49690215e-05]]]


 [[[-5.63075311e-05]
   [-5.63075311e-05]
   [-5.63075311e-05]]

  [[ 2.46473736e-02]
   [ 2.46473736e-02]
   [ 2.46473736e-02]]

  [[ 5.03411946e-02]
   [ 5.03411946e-02]
   [ 5.03411946e-02]]

  ...

  [[-6.30442303e-02]
   [-6.30442303e-02]
   [-6.30442303e-02]]

  [[-3.09341207e-02]
   [-3.09341207e-02]
   [-3.09341207e-02]]

  [[-5.63075311e-05]
   [-5.63075311e-05]
   [-5.63075311e-05]]]


 ...


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.20000000e-01]
   [ 1.20000000e-01]
   [ 1.20000000e-01]]

  [[ 2.39999999e-01]
   [ 2.39999999e-01]
   [ 2.39999999e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50000000e-01]
   [-1.50000000e-01]
   [-1.50000000e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.20000000e-01]
   [ 1.20000000e-01]
   [ 1.20000000e-01]]

  [[ 2.39999999e-01]
   [ 2.39999999e-01]
   [ 2.39999999e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50000000e-01]
   [-1.50000000e-01]
   [-1.50000000e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.20000000e-01]
   [ 1.20000000e-01]
   [ 1.20000000e-01]]

  [[ 2.39999999e-01]
   [ 2.39999999e-01]
   [ 2.39999999e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50000000e-01]
   [-1.50000000e-01]
   [-1.50000000e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]]",Moment coefficient corrected with CCblade.Polar.
tower_grid.s,,"[0.00000000e+00 7.72881146e-05 1.00474549e-01 1.00551837e-01
 2.00949098e-01 2.01026386e-01 3.01423647e-01 3.01500935e-01
 4.01898196e-01 4.01975484e-01 5.02372745e-01 5.02450033e-01
 6.02847294e-01 6.02924582e-01 7.03321843e-01 7.03399131e-01
 8.03796392e-01 8.03873680e-01 9.04270941e-01 9.04348229e-01
 1.00000000e+00]","1D array of the non-dimensional grid defined along the tower axis (0-tower base, 1-tower top)"
tower_grid.height,m,[129.386],Scalar of the tower height computed along the z axis.
tower_grid.length,m,[129.386],Scalar of the tower length computed along its curved axis. A standard straight tower will be as high as long.
tower_grid.foundation_height,m,[15.],Foundation height in respect to the ground level.
rotorse.ccblade.CP,,[0.4632403],Rotor power coefficient
rotorse.ccblade.CM,,[0.16996122],Blade flapwise moment coefficient
rotorse.ccblade.local_airfoil_velocities,m/s,"[ 8.60806578  9.61961054 11.12716149 12.99415232 15.09418897 17.37440455
 19.76970544 22.23200215 24.74379529 27.29236645 29.86547096 32.45694648
 35.06412763 37.68103302 40.30749669 42.94151972 45.58004222 48.22535633
 50.87011189 53.51561835 56.17133412 58.82040562 61.47289628 64.12665599
 66.78434017 69.44754536 72.10945185 74.76680747 77.40546807 79.36695929]",Local relative velocities for the airfoils
rotorse.ccblade.P,W,[0.],Rotor aerodynamic power
rotorse.ccblade.T,N*m,[0.],Rotor aerodynamic thrust
rotorse.ccblade.Q,N*m,[0.],Rotor aerodynamic torque
rotorse.ccblade.M,N*m,[0.],Blade root flapwise moment
rotorse.ccblade.a,,"[0.07330696 0.03896581 0.06006229 0.16982355 0.22441649 0.25907903
 0.28726841 0.30389375 0.30844595 0.30687193 0.30656808 0.3062436
 0.30279598 0.30037217 0.29933067 0.29590995 0.29428475 0.29228415
 0.29079495 0.28896    0.28676561 0.28898737 0.29384459 0.29734511
 0.29718018 0.28934637 0.28524345 0.29211351 0.33881785 0.14736556]",Axial induction  along blade span
rotorse.ccblade.ap,,"[-0.07324856 -0.02486994  0.01806524  0.07194893  0.06419348  0.0523163
  0.04356625  0.03559646  0.02873163  0.02332193  0.01935604  0.01631936
  0.0138609   0.01193702  0.01043979  0.00913504  0.00810036  0.00728281
  0.00653925  0.00584403  0.00534451  0.00486709  0.00452719  0.00418663
  0.00386167  0.00352054  0.00324034  0.00305323  0.00305827  0.00168034]",Tangential induction along blade span
rotorse.ccblade.alpha,deg,"[53.57946346 43.56759917 31.46470765 19.93549998 14.68697776 11.84638338
  9.97861483  8.73772218  8.13828069  7.88087014  7.68578366  7.51535541
  7.4070431   7.31002937  7.21992298  7.18579573  7.1403419   7.09971807
  7.06830196  7.07541696  7.15602326  7.3218613   7.55444525  7.75710874
  7.82380526  7.71515274  7.48908827  7.1026078   6.31634439  7.10928941]",Angles of attack along blade span
rotorse.ccblade.cl,,"[1.00000000e-04 6.50907629e-02 5.52432355e-01 1.68592282e+00
 1.85402854e+00 1.80495652e+00 1.72398626e+00 1.63200511e+00
 1.55100398e+00 1.48780880e+00 1.44539928e+00 1.40495598e+00
 1.35915340e+00 1.32511385e+00 1.30131038e+00 1.27661564e+00
 1.25974631e+00 1.24501049e+00 1.23511455e+00 1.22876325e+00
 1.22666053e+00 1.23945270e+00 1.26152919e+00 1.28254490e+00
 1.29469737e+00 1.28011595e+00 1.25483008e+00 1.21050173e+00
 1.12501217e+00 1.21151547e+00]",Lift coefficients along blade span
rotorse.ccblade.cd,,"[0.35       0.35869474 0.33487435 0.19783962 0.1130471  0.06868868
 0.03420157 0.02057182 0.017199   0.01680257 0.01618677 0.01562028
 0.01515596 0.01462468 0.01358967 0.01331534 0.01269771 0.01090615
 0.01056199 0.01160654 0.01003969 0.01093931 0.010312   0.01054026
 0.01060352 0.0105008  0.01029269 0.00995394 0.00932803 0.00995962]",Drag coefficients along blade span
rotorse.ccblade.cl_n_opt,,"[1.00000000e-04 6.50907629e-02 5.52432355e-01 1.68592282e+00
 1.85402854e+00 1.80495652e+00 1.72398626e+00 1.63200511e+00
 1.55100398e+00 1.48780880e+00 1.44539928e+00 1.40495598e+00
 1.35915340e+00 1.32511385e+00 1.30131038e+00 1.27661564e+00
 1.25974631e+00 1.24501049e+00 1.23511455e+00 1.22876325e+00
 1.22666053e+00 1.23945270e+00 1.26152919e+00 1.28254490e+00
 1.29469737e+00 1.28011595e+00 1.25483008e+00 1.21050173e+00
 1.12501217e+00 1.21151547e+00]",Lift coefficients along blade span
rotorse.ccblade.cd_n_opt,,"[0.35       0.35869474 0.33487435 0.19783962 0.1130471  0.06868868
 0.03420157 0.02057182 0.017199   0.01680257 0.01618677 0.01562028
 0.01515596 0.01462468 0.01358967 0.01331534 0.01269771 0.01090615
 0.01056199 0.01160654 0.01003969 0.01093931 0.010312   0.01054026
 0.01060352 0.0105008  0.01029269 0.00995394 0.00932803 0.00995962]",Drag coefficients along blade span
rotorse.ccblade.Px_b,N/m,"[  83.45932256  112.25846673  284.44001307  962.73838513 1495.97627881
 1992.80920133 2495.43814934 2963.87839132 3380.79841172 3765.88510269
 4161.99026824 4561.73557153 4936.65364941 5319.02580548 5714.96020301
 6083.79387444 6472.09911992 6853.72083432 7240.18889045 7618.92031972
 7985.54543809 8417.4834557  8883.56880783 9297.3242781  9576.81523058
 9559.6789804  9354.94129141 8898.79077563 8041.5006962  2387.52911284]",Distributed loads in blade-aligned x-direction
rotorse.ccblade.Py_b,N/m,"[  31.71924735   42.3597628   -75.86045406 -481.52477766 -630.14556214
 -709.35392059 -776.26843493 -811.75225043 -826.31895878 -832.35262655
 -838.58769825 -844.15054377 -847.9481581  -852.02936632 -858.72354906
 -861.04940097 -865.78181855 -876.80249704 -880.45723792 -875.22112291
 -885.72013863 -882.06671832 -888.53852481 -885.05968293 -874.73154405
 -848.70410372 -803.80983463 -728.31527111 -587.65177045 -225.51538281]",Distributed loads in blade-aligned y-direction
rotorse.ccblade.Pz_b,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",Distributed loads in blade-aligned z-direction
rotorse.ccblade.Px_af,N/m,"[  71.85999879   96.88821316  294.37967544 1047.82009386 1592.37434912
 2085.25814791 2582.3311728  3043.00797989 3450.51817509 3826.07558732
 4213.58575916 4605.79336055 4974.04190364 5350.29037708 5740.56513972
 6103.8492577  6486.96191903 6863.81700286 7245.5075584  7619.20825787
 7979.8557555  8403.75270675 8859.70188379 9263.93979401 9537.56397253
 9520.65026133 9319.04101217 8868.80859506 8021.07832709 2382.07820696]",Distributed loads in airfoil x-direction
rotorse.ccblade.Py_af,N/m,"[   52.98782642    70.77419733    -1.23944108  -246.58540227
  -315.23386321  -355.20410209  -401.70879283  -428.50819002
  -454.45048763  -485.64091853  -520.6605139   -555.59795266
  -590.31557145  -626.40437529  -666.39937898  -704.96681973
  -746.30438591  -793.90682377  -835.55989518  -872.71093466
  -935.59512035 -1004.49483143 -1101.35280621 -1184.47831021
 -1231.02343796 -1210.3633609  -1147.39331948 -1031.09383997
  -820.59156775  -277.22890989]",Distributed loads in airfoil y-direction
rotorse.ccblade.Pz_af,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",Distributed loads in airfoil z-direction
rotorse.ccblade.LiftF,N/m,"[2.55096117e-02 2.14232126e+01 2.51741586e+02 1.06910789e+03
 1.62026795e+03 2.11376461e+03 2.61287529e+03 3.07278645e+03
 3.48010225e+03 3.85652753e+03 4.24536594e+03 4.63889659e+03
 5.00863713e+03 5.38650679e+03 5.77880042e+03 6.14409043e+03
 6.52941910e+03 6.90931318e+03 7.29326061e+03 7.66868384e+03
 8.03424621e+03 8.46324347e+03 8.92759598e+03 9.33904057e+03
 9.61635807e+03 9.59695594e+03 9.38909504e+03 8.92824341e+03
 8.06266699e+03 2.39807502e+03]",Distributed lift force
rotorse.ccblade.DragF,N/m,"[ 89.28364085 118.0565916  152.60112491 125.4576404   98.7938379
  80.4405553   51.83593848  38.73321454  38.59067611  43.55368538
  47.54309371  51.57517166  55.85145414  59.44841859  60.34838763
  64.08403119  65.81376903  60.52482291  62.36778504  72.43617916
  65.75687491  74.69587741  72.97604072  76.7504394   78.75755465
  78.72391921  77.01361798  73.41685775  66.85151282  19.7140846 ]",Distributed drag force
rotorse.ccblade.L_n_opt,N/m,"[2.55096117e-02 2.14232126e+01 2.51741586e+02 1.06910789e+03
 1.62026795e+03 2.11376461e+03 2.61287529e+03 3.07278645e+03
 3.48010225e+03 3.85652753e+03 4.24536594e+03 4.63889659e+03
 5.00863713e+03 5.38650679e+03 5.77880042e+03 6.14409043e+03
 6.52941910e+03 6.90931318e+03 7.29326061e+03 7.66868384e+03
 8.03424621e+03 8.46324347e+03 8.92759598e+03 9.33904057e+03
 9.61635807e+03 9.59695594e+03 9.38909504e+03 8.92824341e+03
 8.06266699e+03 2.39807502e+03]",Distributed lift force
rotorse.ccblade.D_n_opt,N/m,"[ 89.28364085 118.0565916  152.60112491 125.4576404   98.7938379
  80.4405553   51.83593848  38.73321454  38.59067611  43.55368538
  47.54309371  51.57517166  55.85145414  59.44841859  60.34838763
  64.08403119  65.81376903  60.52482291  62.36778504  72.43617916
  65.75687491  74.69587741  72.97604072  76.7504394   78.75755465
  78.72391921  77.01361798  73.41685775  66.85151282  19.7140846 ]",Distributed drag force
rotorse.wt_class.V_mean,m/s,[10.],
rotorse.wt_class.V_extreme1,m/s,[40.],
rotorse.wt_class.V_extreme50,m/s,[70.],
rotorse.re.precomp.z,m,"[  3.97         8.00448276  12.03896552  16.07344828  20.10793103
  24.14241379  28.17689655  32.21137931  36.24586207  40.28034483
  44.31482759  48.34931034  52.3837931   56.41827586  60.45275862
  64.48724138  68.52172414  72.5562069   76.59068965  80.62517241
  84.65965517  88.69413793  92.72862069  96.76310345 100.79758621
 104.83206896 108.86655172 112.90103448 116.93551724 120.97      ]",locations of properties along beam
rotorse.re.Tw_iner,m,"[-38.99763366  25.60410082  19.74270075  17.2670788   15.56703409
  14.33423902  12.87830251  10.99538198   9.08855202   7.66341952
   6.53213956   5.42450355   4.67826209   4.09597622   3.40525541
   2.77129033   2.30476476   1.80304203   1.31898349   0.83554538
   0.13707314  -0.7088186   -1.48696369  -1.99780621  -2.34664754
  -2.37806814  -2.20926781  -1.84633951  -1.41142663  -0.8603124 ]",Orientation of the section principal inertia axes with respect the blade reference plane
rotorse.re.x_tc,m,"[-0.00895021  0.01015133  0.13096032  0.16842593  0.19979192  0.17723258
  0.1665418   0.20570495  0.21258698  0.16614287  0.12338627  0.11666408
  0.09945058  0.07428092  0.05748971  0.04470057  0.03344128  0.02813716
  0.02523313  0.02257443  0.0217434   0.01995945  0.01444774  0.00611802
  0.00138973  0.00061862  0.00116866  0.00244452  0.00448969  0.00241425]",X-coordinate of the tension-center offset with respect to the XR-YR axes
rotorse.re.y_tc,m,"[-0.0237896   0.10995651  0.16021773  0.26748361  0.39830415  0.47911413
  0.5024076   0.51748045  0.54093809  0.55247586  0.53966877  0.51522189
  0.47444789  0.41333101  0.34598017  0.28295826  0.22700017  0.16951506
  0.11492654  0.07346815  0.05527597  0.04958746  0.04902278  0.05272394
  0.04745337  0.04116961  0.03887369  0.04808687  0.07623212  0.02865827]",Chordwise offset of the section tension-center with respect to the XR-YR axes
rotorse.re.x_sc,m,"[-0.00895021  0.01015133  0.13096032  0.16828666  0.1998437   0.17754991
  0.16688417  0.20595614  0.2128197   0.16636661  0.1235505   0.11679817
  0.09955526  0.074357    0.05753779  0.04473255  0.03345731  0.02814452
  0.02523468  0.02257527  0.02174346  0.01995853  0.01444581  0.00611421
  0.00138512  0.00061323  0.00116157  0.002432    0.00448969  0.00241425]",X-coordinate of the shear-center offset with respect to the XR-YR axes
rotorse.re.y_sc,m,"[-0.0237896   0.10995651  0.16021773  0.26046128  0.39617592  0.47948361
  0.50397161  0.51956866  0.5432185   0.55471426  0.54172622  0.51701204
  0.47601352  0.41463601  0.34698803  0.2837179   0.22758288  0.16991578
  0.11517273  0.07360203  0.05536469  0.04967304  0.04912695  0.05286589
  0.04762288  0.04135886  0.03911185  0.04848621  0.07623212  0.02865827]","Chordwise offset of the section shear-center with respect to the reference frame, XR-YR"
rotorse.re.x_cg,m,"[-0.00894604  0.00947433  0.13720851  0.19926428  0.25687153  0.25215014
  0.26173689  0.30928346  0.30656116  0.24730379  0.19380676  0.17447039
  0.1479193   0.11428481  0.08868037  0.06813738  0.0513128   0.04045396
  0.03307705  0.02719186  0.02367196  0.01922158  0.0114239   0.00172475
 -0.00318372 -0.0036349  -0.00276431 -0.00134529  0.0011015   0.00179958]",X-coordinate of the center-of-mass offset with respect to the XR-YR axes
rotorse.re.y_cg,m,"[-0.02379681  0.11166406  0.17489799  0.32619048  0.52835948  0.76278393
  0.95315123  1.07744981  1.18429497  1.22492984  1.21181972  1.17881258
  1.11446274  1.00975048  0.89136533  0.77107126  0.65568424  0.52969611
  0.39914546  0.28906182  0.23384922  0.21184511  0.20408063  0.2062316
  0.18715831  0.16510228  0.15298195  0.16211394  0.19101661  0.05205124]",Chordwise offset of the section center of mass with respect to the XR-YR axes
rotorse.re.precomp.flap_iner,kg/m,"[1.03308362e+04 8.44039979e+03 5.07481935e+03 2.61093051e+03
 1.18267353e+03 6.62758742e+02 4.12108259e+02 2.83268147e+02
 2.11233494e+02 1.87336385e+02 1.63648746e+02 1.30028612e+02
 1.11752542e+02 9.76363099e+01 7.72429570e+01 6.12550494e+01
 5.07409111e+01 3.97340029e+01 3.16769409e+01 2.56068983e+01
 1.96657512e+01 1.42786704e+01 1.00941073e+01 7.13587658e+00
 4.69576843e+00 2.96415018e+00 1.77537289e+00 9.97759808e-01
 4.96027655e-01 6.47861695e-03]",Section flap inertia about the Y_G axis per unit length.
