variables,units,values,description
floatingse.memload4.Pz,N/m,"[[    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]]",
floatingse.memload4.qdyn,Pa,"[[  135.77712883]
 [  135.77712883]
 [  135.77712883]
 [  135.77712883]
 [  135.77712883]
 [  135.77712883]
 [  135.77712883]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]]",
floatingse.memload5.env.wind.U,m/s,[14.88881946 14.88881946 14.88881946],
floatingse.memload5.env.windLoads.windLoads_Px,N/m,[44.70859841 44.70859841 44.70859841],
floatingse.memload5.env.windLoads.windLoads_Py,N/m,[0. 0. 0.],
floatingse.memload5.env.windLoads.windLoads_Pz,N/m,[0. 0. 0.],
floatingse.memload5.env.windLoads.windLoads_qdyn,N/m**2,[135.77712883 135.77712883 135.77712883],
floatingse.memload5.env.windLoads.windLoads_z,m,[14.545 14.545 14.545],
floatingse.memload5.env.windLoads.windLoads_beta,deg,[0.],
floatingse.memload5.env.wave.U,m/s,[0. 0. 0.],
floatingse.memload5.env.wave.W,m/s,[0. 0. 0.],
floatingse.memload5.env.wave.V,m/s,[0. 0. 0.],
floatingse.memload5.env.wave.A,m/s**2,[0. 0. 0.],
floatingse.memload5.env.wave.p,N/m**2,[0. 0. 0.],
floatingse.memload5.env.wave.phase_speed,m/s,[14.74885925],
floatingse.memload5.env.waveLoads.waveLoads_Px,N/m,[0. 0. 0.],
floatingse.memload5.env.waveLoads.waveLoads_Py,N/m,[0. 0. 0.],
floatingse.memload5.env.waveLoads.waveLoads_Pz,N/m,[0. 0. 0.],
floatingse.memload5.env.waveLoads.waveLoads_qdyn,N/m**2,[0. 0. 0.],
floatingse.memload5.env.waveLoads.waveLoads_pt,N/m**2,[0. 0. 0.],
floatingse.memload5.env.waveLoads.waveLoads_z,m,[14.545 14.545 14.545],
floatingse.memload5.env.waveLoads.waveLoads_beta,deg,[0.],
floatingse.memload5.env.Px,N/m,[44.70859841 44.70859841 44.70859841],
floatingse.memload5.env.Py,N/m,[0. 0. 0.],
floatingse.memload5.env.Pz,N/m,[0. 0. 0.],
floatingse.memload5.env.qdyn,N/m**2,[135.77712883 135.77712883 135.77712883],
floatingse.memload5.g2e.Px,N/m,"[   22.35430114    22.35430114    22.35430114    22.35430114
    22.35430114    22.35430114    22.35430114 -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.        ]",
floatingse.memload5.g2e.Py,N/m,"[  -38.71878088   -38.71878088   -38.71878088   -38.71878088
   -38.71878088   -38.71878088   -38.71878088 -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.        ]",
floatingse.memload5.g2e.Pz,N/m,"[    0.     0.     0.     0.     0.     0.     0. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.]",
floatingse.memload5.g2e.qdyn,Pa,"[  135.77712883   135.77712883   135.77712883   135.77712883
   135.77712883   135.77712883   135.77712883 -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.        ]",
floatingse.memload5.Px,N/m,"[[   22.35430114]
 [   22.35430114]
 [   22.35430114]
 [   22.35430114]
 [   22.35430114]
 [   22.35430114]
 [   22.35430114]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]]",
floatingse.memload5.Py,N/m,"[[  -38.71878088]
 [  -38.71878088]
 [  -38.71878088]
 [  -38.71878088]
 [  -38.71878088]
 [  -38.71878088]
 [  -38.71878088]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]]",
