variables,units,values,description
rotorse.rc.layer_start_nd,,"[[0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.00517241 0.01       0.01       0.01
  0.01       0.01       0.01       0.01       0.01       0.01
  0.01       0.01       0.01       0.01       0.01       0.01
  0.01       0.01       0.01       0.01       0.01       0.01      ]
 [0.1777357  0.18522538 0.19125567 0.20420718 0.22445948 0.2436877
  0.25947426 0.26951423 0.27737714 0.27986777 0.28118853 0.28395815
  0.28608732 0.287027   0.28863385 0.28891464 0.28743662 0.28580065
  0.28344016 0.28031467 0.27617256 0.27112773 0.26543795 0.2591531
  0.25174887 0.24255568 0.23163127 0.22119567 0.22585865 0.16803069]
 [0.68053272 0.67375111 0.6716541  0.66909713 0.66222274 0.65408918
  0.6476149  0.64235193 0.63480842 0.63262457 0.62995926 0.62473226
  0.62043324 0.61702803 0.61151959 0.60748614 0.60493193 0.60169386
  0.59899681 0.59672215 0.59441207 0.59236329 0.59088092 0.58972549
  0.58806093 0.5858704  0.58307669 0.58175233 0.59711566 0.55186471]
 [0.49999933 0.49996543 0.49968074 0.47079094 0.4690124  0.46912228
  0.46965441 0.46893795 0.46767408 0.46668703 0.46503045 0.46305206
  0.46156084 0.45989922 0.45721423 0.45464148 0.45228311 0.44948322
  0.4464094  0.44326702 0.4397301  0.43668543 0.43568558 0.43611975
  0.49683998 0.49683998 0.49683998 0.49683998 0.49683998 0.49683998]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [1.         1.         1.         0.94693602 0.94443786 0.94362773
  0.94268532 0.94120624 0.93826046 0.93546673 0.93212353 0.9283723
  0.9250668  0.92180602 0.91773293 0.91369382 0.90977571 0.90543489
  0.90090179 0.89607168 0.89064129 0.88469303 0.8783592  0.87150094
  1.         1.         1.         1.         1.         1.        ]
 [0.         0.         0.         0.05306398 0.05556214 0.05637227
  0.05731468 0.05879376 0.06173954 0.06453327 0.06787647 0.0716277
  0.0749332  0.07819398 0.08226707 0.08630618 0.09022429 0.09456511
  0.09909821 0.10392832 0.10935871 0.11530697 0.1216408  0.12849906
  0.         0.         0.         0.         0.         0.        ]
 [0.23283079 0.24066864 0.25061213 0.26788395 0.29113405 0.31133442
  0.32825189 0.34006674 0.35146459 0.35730769 0.3626403  0.36991139
  0.37600716 0.38085977 0.38735433 0.39248206 0.39570578 0.39927878
  0.40235801 0.40502865 0.40740301 0.4094961  0.41140691 0.41335197
  0.41551206 0.4177743  0.42044722 0.42147293 0.40559391 0.45010159]
 [0.49999933 0.49996543 0.49968074 0.52739251 0.52827868 0.5292527
  0.53079008 0.5316513  0.53352959 0.53552252 0.53743202 0.53945494
  0.54148959 0.54330613 0.54496576 0.54670141 0.54852236 0.55035267
  0.55211415 0.5541182  0.55619831 0.5578326  0.5580624  0.55756022
  0.49683998 0.49683998 0.49683998 0.49683998 0.49683998 0.49683998]
 [0.7356278  0.72919438 0.73101056 0.7327739  0.7288973  0.72173591
  0.71639252 0.71290444 0.70889587 0.71006449 0.71141103 0.7106855
  0.71035308 0.71086081 0.71024007 0.71105355 0.71320108 0.71517198
  0.71791466 0.72143614 0.72564252 0.73073166 0.73684988 0.74392436
  0.75182412 0.76108903 0.77189265 0.78202958 0.77685092 0.83393561]
 [0.         0.         0.         0.         0.         0.
  0.01103448 0.0662069  0.08       0.08       0.08       0.08
  0.08       0.08       0.08       0.08       0.08       0.08
  0.08       0.08       0.08       0.08       0.08       0.08
  0.08       0.08       0.08       0.08       0.08       0.08      ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]]","2D array of the non-dimensional start point defined along the outer profile of a layer. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each layer, the second dimension represents each entry along blade span."
rotorse.rc.layer_end_nd,,"[[1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.        ]
 [1.         1.         1.         1.         1.         1.
  1.         1.         0.99482759 0.99       0.99       0.99
  0.99       0.99       0.99       0.99       0.99       0.99
  0.99       0.99       0.99       0.99       0.99       0.99
  0.99       0.99       0.99       0.99       0.99       0.99      ]
 [0.23283079 0.24066864 0.25061213 0.26788395 0.29113405 0.31133442
  0.32825189 0.34006674 0.35146459 0.35730769 0.3626403  0.36991139
  0.37600716 0.38085977 0.38735433 0.39248206 0.39570578 0.39927878
  0.40235801 0.40502865 0.40740301 0.4094961  0.41140691 0.41335197
  0.41551206 0.4177743  0.42044722 0.42147293 0.40559391 0.45010159]
 [0.7356278  0.72919438 0.73101056 0.7327739  0.7288973  0.72173591
  0.71639252 0.71290444 0.70889587 0.71006449 0.71141103 0.7106855
  0.71035308 0.71086081 0.71024007 0.71105355 0.71320108 0.71517198
  0.71791466 0.72143614 0.72564252 0.73073166 0.73684988 0.74392436
  0.75182412 0.76108903 0.77189265 0.78202958 0.77685092 0.83393561]
 [0.49999933 0.49996543 0.49968074 0.52739251 0.52827868 0.5292527
  0.53079008 0.5316513  0.53352959 0.53552252 0.53743202 0.53945494
  0.54148959 0.54330613 0.54496576 0.54670141 0.54852236 0.55035267
  0.55211415 0.5541182  0.55619831 0.5578326  0.5580624  0.55756022
  0.49683998 0.49683998 0.49683998 0.49683998 0.49683998 0.49683998]
 [0.         0.         0.         0.05306398 0.05556214 0.05637227
  0.05731468 0.05879376 0.06173954 0.06453327 0.06787647 0.0716277
  0.0749332  0.07819398 0.08226707 0.08630618 0.09022429 0.09456511
  0.09909821 0.10392832 0.10935871 0.11530697 0.1216408  0.12849906
  0.         0.         0.         0.         0.         0.        ]
 [1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.        ]
 [0.1777357  0.18522538 0.19125567 0.20420718 0.22445948 0.2436877
  0.25947426 0.26951423 0.27737714 0.27986777 0.28118853 0.28395815
  0.28608732 0.287027   0.28863385 0.28891464 0.28743662 0.28580065
  0.28344016 0.28031467 0.27617256 0.27112773 0.26543795 0.2591531
  0.25174887 0.24255568 0.23163127 0.22119567 0.22585865 0.16803069]
 [0.49999933 0.49996543 0.49968074 0.47079094 0.4690124  0.46912228
  0.46965441 0.46893795 0.46767408 0.46668703 0.46503045 0.46305206
  0.46156084 0.45989922 0.45721423 0.45464148 0.45228311 0.44948322
  0.4464094  0.44326702 0.4397301  0.43668543 0.43568558 0.43611975
  0.49683998 0.49683998 0.49683998 0.49683998 0.49683998 0.49683998]
 [0.68053272 0.67375111 0.6716541  0.66909713 0.66222274 0.65408918
  0.6476149  0.64235193 0.63480842 0.63262457 0.62995926 0.62473226
  0.62043324 0.61702803 0.61151959 0.60748614 0.60493193 0.60169386
  0.59899681 0.59672215 0.59441207 0.59236329 0.59088092 0.58972549
  0.58806093 0.5858704  0.58307669 0.58175233 0.59711566 0.55186471]
 [1.         1.         1.         0.94693602 0.94443786 0.94362773
  0.94268532 0.94120624 0.93826046 0.93546673 0.93212353 0.9283723
  0.9250668  0.92180602 0.91773293 0.91369382 0.90977571 0.90543489
  0.90090179 0.89607168 0.89064129 0.88469303 0.8783592  0.87150094
  1.         1.         1.         1.         1.         1.        ]
 [1.         1.         1.         1.         1.         1.
  0.98896552 0.9337931  0.92       0.92       0.92       0.92
  0.92       0.92       0.92       0.92       0.92       0.92
  0.92       0.92       0.92       0.92       0.92       0.92
  0.92       0.92       0.92       0.92       0.92       0.92      ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]]","2D array of the non-dimensional end point defined along the outer profile of a layer. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each layer, the second dimension represents each entry along blade span."
rotorse.rc.rho,kg/m**3,[1235. 7800. 7850. 7200. 1940. 1220. 1940. 1940.  130. 1150. 1100. 5000.],"1D array of the density of the materials. For composites, this is the density of the laminate."
rotorse.rc.unit_cost,USD/kg,[ 7.23  0.7   0.9   0.5   1.87 30.    3.    2.86 13.    3.63  9.    1.  ],1D array of the unit costs of the materials.
rotorse.rc.waste,,[0.25 0.   0.   0.   0.05 0.05 0.15 0.15 0.2  0.   0.   0.  ],1D array of the non-dimensional waste fraction of the materials.
rotorse.rc.rho_fiber,kg/m**3,"[   0.     0.     0.     0.  2535.5 1800.  2535.5 2535.5    0.     0.
    0.     0. ]",1D array of the density of the fibers of the materials.
rotorse.rc.ply_t,m,"[1.00000000e+06 1.00000000e+06 1.00000000e+06 1.00000000e+06
 5.00000000e-03 5.15873016e-03 1.00000000e-03 1.00000000e-03
 1.00000000e+06 1.00000000e+06 1.00000000e+06 1.00000000e+06]",1D array of the ply thicknesses of the materials. Non-composite materials are kept at 0.
rotorse.rc.fwf,,"[0.         0.         0.         0.         0.74506827 0.15889029
 0.74506827 0.74506827 0.         0.         0.         0.        ]",1D array of the non-dimensional fiber weight fraction of the composite materials. Non-composite materials are kept at 0.
rotorse.rc.fvf,,"[0.         0.         0.         0.         0.57       0.10769231
 0.57       0.57       0.         0.         0.         0.        ]",1D array of the non-dimensional fiber volume fraction of the composite materials. Non-composite materials are kept at 0.
rotorse.rc.roll_mass,kg,"[  0.       0.       0.       0.       0.       0.     181.4368 181.4368
   0.       0.       0.       0.    ]",1D array of the roll mass of the composite fabrics. Non-composite materials are kept at 0.
rotorse.rc.flange_adhesive_squeezed,,[0.2],Extra width of the adhesive once squeezed
rotorse.rc.flange_thick,m,[0.008],Average thickness of adhesive
rotorse.rc.flange_width,m,[0.05],Average width of adhesive lines
rotorse.rc.t_bolt_unit_cost,USD,[25.],Cost of one t-bolt
rotorse.rc.t_bolt_unit_mass,kg,[2.5],Mass of one t-bolt
rotorse.rc.t_bolt_spacing,m,[0.15],Spacing of t-bolts along blade root circumference
rotorse.rc.barrel_nut_unit_cost,USD,[12.],Cost of one barrel nut
rotorse.rc.barrel_nut_unit_mass,kg,[1.9],Mass of one barrel nut
rotorse.rc.LPS_unit_mass,kg/m,[1.],Unit mass of the lightining protection system. Linear scaling based on the weight of 150 lbs for the 61.5 m NREL 5MW blade
rotorse.rc.LPS_unit_cost,USD/m,[40.],Unit cost of the lightining protection system. Linear scaling based on the cost of 2500$ for the 61.5 m NREL 5MW blade
rotorse.rc.root_preform_length,,[0.01],Percentage of blade length starting from blade root that is preformed and later inserted into the mold
rotorse.rc.definition_layer,Unavailable,[ 9.  9.  2.  2.  5.  7.  8.  6.  6.  6.  6.  9. 10. 10. 10. 10. 10. 10.],"1D array of flags identifying how layers are specified in the yaml. 1) all around (skin, paint, ) 2) offset+rotation twist+width (spar caps) 3) offset+user defined rotation+width 4) midpoint TE+width (TE reinf) 5) midpoint LE+width (LE reinf) 6) layer position fixed to other layer (core fillers) 7) start and width 8) end and width 9) start and end nd 10) web layer"
rotorse.rc.mat_name,Unavailable,"['Gelcoat', 'steel', 'steel_drive', 'cast_iron', 'glass_uni', 'CarbonUD', 'glass_biax', 'glass_triax', 'medium_density_foam', 'resin', 'adhesive', 'slurry']",1D array of names of materials.
rotorse.rc.orth,Unavailable,[0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0.],1D array of flags to set whether a material is isotropic (0) or orthtropic (1). Each entry represents a material.
rotorse.rc.component_id,Unavailable,[ 0. -1. -1. -1.  5.  4.  3.  2.  1. -1. -1. -1.],"1D array of flags to set whether a material is used in a blade: 0 - coating, 1 - sandwich filler , 2 - shell skin, 3 - shear webs, 4 - spar caps, 5 - TE/LE reinf."
rotorse.total_bc.joint_cost,USD,[0.],Total blade joint cost
rotorse.total_bc.inner_blade_cost,USD,[617387.72382179],Total cost (variable and fixed) for the blade inner portion.
rotorse.total_bc.outer_blade_cost,USD,[0.],Total cost (variable and fixed) for the blade outer portion.
drivese.E_mat,Pa,"[[3.440e+09 3.440e+09 3.440e+09]
 [2.000e+11 2.000e+11 2.000e+11]
 [2.050e+11 2.050e+11 2.050e+11]
 [1.180e+11 1.180e+11 1.180e+11]
 [4.460e+10 1.700e+10 1.670e+10]
 [1.145e+11 8.390e+09 8.390e+09]
 [1.110e+10 1.110e+10 1.670e+10]
 [2.870e+10 1.660e+10 1.670e+10]
 [1.292e+08 1.292e+08 1.292e+08]
 [1.000e+06 1.000e+06 1.000e+06]
 [4.560e+06 4.560e+06 4.560e+06]
 [1.000e+00 1.000e+00 1.000e+00]]",
drivese.G_mat,Pa,"[[1.32300000e+09 1.32300000e+09 1.32300000e+09]
 [7.93000000e+10 7.93000000e+10 7.93000000e+10]
 [8.00000000e+10 8.00000000e+10 8.00000000e+10]
 [4.76000000e+10 4.76000000e+10 4.76000000e+10]
 [3.27000000e+09 3.48000000e+09 3.50000000e+09]
 [5.99000000e+09 5.99000000e+09 5.99000000e+09]
 [1.35300000e+10 3.49000000e+09 3.49000000e+09]
 [8.40000000e+09 3.49000000e+09 3.49000000e+09]
 [4.89469697e+07 4.89469697e+07 4.89469697e+07]
 [3.12500000e+05 3.12500000e+05 3.12500000e+05]
 [1.52000000e+06 1.52000000e+06 1.52000000e+06]
 [1.00000000e+00 1.00000000e+00 1.00000000e+00]]",
drivese.Xt_mat,Pa,"[[7.400e+01 7.400e+01 7.400e+01]
 [4.500e+08 4.500e+08 4.500e+08]
 [8.140e+08 8.140e+08 8.140e+08]
 [3.100e+08 3.100e+08 3.100e+08]
 [6.092e+08 3.810e+07 1.529e+07]
 [1.546e+09 0.000e+00 0.000e+00]
 [4.290e+07 4.260e+07 1.530e+07]
 [3.960e+08 7.640e+07 1.530e+07]
 [2.083e+06 2.083e+06 2.083e+06]
 [0.000e+00 0.000e+00 0.000e+00]
 [6.900e+05 6.900e+05 6.900e+05]
 [0.000e+00 0.000e+00 0.000e+00]]",
drivese.Xy_mat,Pa,"[0.00e+00 3.45e+08 4.85e+08 2.65e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00
 0.00e+00 0.00e+00 0.00e+00 0.00e+00]",
drivese.wohler_exp_mat,,[ 1.   3.   3.   3.  10.  16.1 10.  10.   1.   1.   1.   1. ],
drivese.wohler_A_mat,,"[8.700e+01 4.500e+08 8.140e+08 3.100e+08 6.092e+08 1.546e+09 1.132e+08
 4.489e+08 2.083e+06 0.000e+00 6.900e+05 0.000e+00]",
drivese.rho_mat,kg/m**3,[1235. 7800. 7850. 7200. 1940. 1220. 1940. 1940.  130. 1150. 1100. 5000.],
drivese.unit_cost_mat,USD/kg,[ 7.23  0.7   0.9   0.5   1.87 30.    3.    2.86 13.    3.63  9.    1.  ],
drivese.material_names,Unavailable,"['Gelcoat', 'steel', 'steel_drive', 'cast_iron', 'glass_uni', 'CarbonUD', 'glass_biax', 'glass_triax', 'medium_density_foam', 'resin', 'adhesive', 'slurry']",
drivese.lss_material,Unavailable,steel_drive,
drivese.hss_material,Unavailable,steel,
drivese.hub_material,Unavailable,cast_iron,
drivese.spinner_material,Unavailable,glass_uni,
drivese.bedplate_material,Unavailable,steel_drive,
drivese.blades_I,kg*m**2,"[3.48878425e+08 1.74439213e+08 1.74439213e+08 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
drivese.rated_rpm,rpm,[7.499236],
drivese.stop_time,s,[5.],
drivese.flange_t2shell_t,,[6.],
drivese.flange_OD2hub_D,,[0.6],
drivese.flange_ID2flange_OD,,[0.8],
drivese.hub_shell.rho,kg/m**3,[7200.],
drivese.max_torque,N*m,[54796112.38001237],
drivese.hub_shell.Xy,Pa,[2.65e+08],
drivese.hub_stress_concentration,,[3.],
drivese.hub_shell.metal_cost,USD/kg,[0.5],
drivese.hub_diameter,m,[7.94],
drivese.blade_root_diameter,m,[5.2],
drivese.hub_in2out_circ,,[1.2],
drivese.hub_shell.n_blades,Unavailable,3,
drivese.clearance_hub_spinner,m,[0.5],
drivese.spin_hole_incr,,[1.2],
drivese.spinner_gust_ws,m/s,[70.],
drivese.spinner.composite_Xt,Pa,[38100000.],
drivese.spinner.composite_rho,kg/m**3,[1940.],
drivese.spinner.Xy,Pa,[4.85e+08],
drivese.spinner.metal_rho,kg/m**3,[7850.],
drivese.spinner.composite_cost,USD/kg,[1.87],
drivese.spinner.metal_cost,USD/kg,[0.9],
drivese.n_blades,Unavailable,3,
drivese.n_front_brackets,Unavailable,5,
drivese.n_rear_brackets,Unavailable,5,
drivese.blade_mass,kg,[68693.19239998],
drivese.pitch_system.rho,kg/m**3,[7850.],
drivese.pitch_system.Xy,Pa,[4.85e+08],
drivese.pitch_system_scaling_factor,,[0.75],
drivese.pitch_system.BRFM,N*m,[-99811206.25239184],
drivese.pitch_mass,kg,[49269.61437782],
drivese.pitch_cost,USD,[0.],
drivese.pitch_I,kg*m**2,"[776533.46524739 388266.7326237  388266.7326237       0.
      0.              0.        ]",
drivese.hub_mass,kg,[21383.5746056],
drivese.hub_cost,USD,[10691.7873028],
drivese.hub_cm,m,[3.32828934],
drivese.hub_I,kg*m**2,"[224682.92066755 224682.92066755 224682.92066755      0.
      0.              0.        ]",
drivese.spinner_mass,kg,[2937.43921781],
drivese.spinner_cost,kg,[4946.66139801],
drivese.spinner_cm,m,[3.97],
drivese.spinner_I,kg*m**2,"[39128.45284473 39128.45284473 39128.45284473     0.
     0.             0.        ]",
drivese.gear_ratio,,[1.],
drivese.rotor_diameter,m,[242.23775645],
drivese.rated_torque,N*m,[19917556.84890721],
drivese.machine_rating,kW,[15000.],
drivese.gear_configuration,Unavailable,eep,
drivese.planet_numbers,Unavailable,"[3, 3, 0]",
drivese.L_12,m,[1.],
drivese.L_h1,m,[2.],
drivese.L_generator,m,[2.15],
drivese.overhang,m,[12.0313],
drivese.drive_height,m,[5.614],
drivese.tilt,deg,[6.],
drivese.lss_diameter,m,[3. 3.],
drivese.lss_wall_thickness,m,[0.1 0.1],
drivese.D_top,m,[6.5],
drivese.lss_rho,kg/m**3,[7850.],
drivese.bedplate_rho,kg/m**3,[7850.],
drivese.access_diameter,m,[2.],
drivese.nose_diameter,m,[2.2 2.2],
drivese.nose_wall_thickness,m,[0.1 0.1],
drivese.bedplate_wall_thickness,m,[0.05 0.05 0.05 0.05],
drivese.upwind,Unavailable,True,
drivese.bear1.D_bearing,m,[0.7],
drivese.bear1.D_shaft,m,[2.2],
drivese.bear1.bearing_type,Unavailable,CARB,
drivese.bear2.D_bearing,m,[0.7],
drivese.bear2.D_shaft,m,[2.2],
drivese.bear2.bearing_type,Unavailable,SRB,
drivese.brake_mass_user,kg,[0.],
drivese.s_rotor,m,[2.3],
drivese.s_gearbox,m,[0.],
drivese.converter_mass_user,kg,[0.],
drivese.transformer_mass_user,kg,[0.],
drivese.yaw.rho,kg/m**3,[7850.],
drivese.minimum_rpm,rpm,[5.],
drivese.generator.E,Pa,[2.05e+11],
drivese.generator.G,Pa,[8.e+10],
drivese.generator.B_r,T,[1.279],
drivese.generator.P_Fe0e,W/kg,[1.],
drivese.generator.P_Fe0h,W/kg,[4.],
drivese.generator.S_N,,[-0.002],
drivese.generator.alpha_p,,[1.09955743],
drivese.generator.b_r_tau_r,,[0.45],
drivese.generator.b_ro,m,[0.004],
drivese.generator.b_s_tau_s,,[0.45],
drivese.generator.b_so,m,[0.004],
drivese.generator.cofi,,[0.9],
drivese.generator.freq,Hz,[60.],
drivese.generator.h_i,m,[0.004],
drivese.generator.h_sy0,,[0.],
drivese.generator.h_w,m,[0.005],
drivese.generator.k_fes,,[0.8],
drivese.generator.k_fillr,,[0.55],
drivese.generator.k_fills,,[0.65],
drivese.generator.k_s,,[0.2],
drivese.generator.mu_0,m*kg/s**2/A**2,[1.25663706e-06],
drivese.generator.mu_r,m*kg/s**2/A**2,[1.06],
drivese.generator.p,,[100.],
drivese.generator.phi,rad,[1.57079633],
drivese.generator.ratio_mw2pp,,[0.8],
drivese.generator.resist_Cu,ohm/m,[2.52e-08],
drivese.generator.sigma,Pa,[60000.],
drivese.generator.v,,[0.28125],
drivese.generator.y_tau_p,,[0.8],
drivese.generator.y_tau_pr,,[0.8333333],
drivese.generator.I_0,A,[0.],
drivese.generator.d_r,m,[0.],
drivese.generator.h_m,m,[0.09953851],
drivese.generator.h_0,m,[0.05],
drivese.generator.h_s,m,[0.37694491],
drivese.generator.len_s,m,[2.23961662],
drivese.generator.shaft_rpm,rpm,"[5.         5.13153874 5.26307747 5.39461621 5.52615495 5.65769368
 5.78923242 5.92077116 6.05230989 6.18384863 6.31538737 6.4469261
 6.57846484 6.71000358 6.84154231 6.97308105 7.10461979 7.23615852
 7.36769726 7.499236  ]",
drivese.generator.n_r,,[0.],
drivese.generator.rad_ag,m,[5.12623359],
drivese.generator.t_wr,m,[0.],
drivese.generator.n_s,,[0.],
drivese.generator.b_st,m,[0.],
drivese.generator.d_s,m,[0.],
drivese.generator.t_ws,m,[0.],
drivese.generator.D_shaft,m,[3.],
drivese.generator.rho_Copper,kg/m**3,[8900.],
drivese.generator.rho_Fe,kg/m**3,[7700.],
drivese.generator.rho_Fes,kg/m**3,[7850.],
drivese.generator.rho_PM,kg/m**3,[7450.],
drivese.generator.P_mech,W,[15641619.0398236],
drivese.generator.N_c,,[2.],
drivese.generator.b,,[2.],
drivese.generator.c,,[5.],
drivese.generator.E_p,V,[1905.25588833],
drivese.generator.h_yr,m,[0.03617595],
drivese.generator.h_ys,m,[0.03618115],
drivese.generator.h_sr,m,[0.04677116],
drivese.generator.h_ss,m,[0.04650826],
drivese.generator.t_r,m,[0.06076571],
drivese.generator.t_s,m,[0.06065214],
drivese.generator.y_sh,m,[8.19569439e-05],
drivese.generator.theta_sh,rad,[0.00013577],
drivese.generator.D_nose,m,[2.2],
drivese.generator.y_bd,m,[0.00176538],
drivese.generator.theta_bd,rad,[0.00011203],
drivese.generator.u_allow_pcent,,[8.5],
drivese.generator.y_allow_pcent,,[1.],
drivese.generator.z_allow_deg,deg,[0.05],
drivese.generator.B_tmax,T,[1.9],
drivese.generator.m,Unavailable,3,
drivese.generator.q1,Unavailable,5,
drivese.generator.q2,Unavailable,4,
drivese.generator.R_out,m,[5.30871922],
drivese.generator_stator_mass,kg,[238490.15752253],
drivese.generator_rotor_mass,kg,[130349.24962928],
drivese.generator_mass,kg,[368839.40715181],
drivese.generator.C_Cu,USD/kg,[4.786],
drivese.generator.C_Fe,USD/kg,[0.556],
drivese.generator.C_Fes,USD/kg,[0.50139],
drivese.generator.C_PM,USD/kg,[50.],
drivese.generator.Copper,kg,[7906.30365471],
drivese.generator.Iron,kg,[190040.41618096],
drivese.generator.mass_PM,kg,[43625.60079317],
drivese.generator.Structural_mass,kg,[127267.08652297],
drivese.generator.u_allow_s,m,[0.00087146],
drivese.generator.u_as,m,[0.00449044],
drivese.generator.z_allow_s,m,[0.],
drivese.generator.z_as,m,[0.],
drivese.generator.y_allow_s,m,[0.02400269],
drivese.generator.y_as,m,[0.0335016],
drivese.generator.b_allow_s,m,[0.],
drivese.generator.u_allow_r,m,[0.00087146],
drivese.generator.u_ar,m,[0.00120579],
drivese.generator.y_allow_r,m,[0.02425382],
drivese.generator.y_ar,m,[0.03511344],
drivese.generator.z_allow_r,m,[0.],
drivese.generator.z_ar,m,[0.],
drivese.generator.b_allow_r,m,[0.],
drivese.generator.b_arm,m,[0.],
drivese.generator.TC1,m**3,[52.83296045],
drivese.generator.TC2r,m**3,[68.35333691],
drivese.generator.TC2s,m**3,[62.82286505],
drivese.generator.B_g,T,[1.38963289],
drivese.generator.B_smax,T,[0.02146584],
drivese.generator.K_rad,,[0.2184466],
drivese.generator.K_rad_LL,,[0.],
drivese.generator.K_rad_UL,,[0.],
drivese.generator.D_ratio,,[0.],
drivese.generator.D_ratio_LL,,[0.],
drivese.generator.D_ratio_UL,,[0.],
drivese.generator.eandm_efficiency,,"[0.97312108 0.97543297 0.97732638 0.97887787 0.98014526 0.98117363
 0.98198506 0.98264312 0.98314922 0.98250549 0.98151995 0.98062462
 0.97979194 0.9790418  0.97833025 0.97769334 0.97707644 0.97649782
 0.9759533  0.97547401]",
drivese.hvac_mass_coeff,kg/kW/m,[0.025],
drivese.H_bedplate,m,[4.85407807],
drivese.L_bedplate,m,[4.80112582],
drivese.R_generator,m,[5.30871922],
drivese.generator_cm,m,[1.225],
drivese.rho_fiberglass,kg/m**3,[1940.],
drivese.rho_castiron,kg/m**3,[7200.],
drivese.mb1_mass,kg,[48092.00178654],
drivese.mb1_cm,m,[1.3],
drivese.mb1_I,kg*m**2,[62609.77482585 32777.70496764 32777.70496764],
drivese.mb2_mass,kg,[13479.28387693],
drivese.mb2_cm,m,[0.3],
drivese.mb2_I,kg*m**2,[17548.34269728  9186.97441737  9186.97441737],
drivese.gearbox_mass,kg,[0.],
drivese.gearbox_cm,m,[0.],
drivese.gearbox_I,kg*m**2,[0. 0. 0.],
drivese.hss_mass,kg,[0.],
drivese.hss_cm,m,[0.],
drivese.hss_I,kg*m**2,[0. 0. 0.],
drivese.brake_mass,kg,[24299.41935567],
drivese.brake_cm,m,[2.3],
drivese.brake_I,kg*m**2,[17823.36003861  8911.6800193   8911.6800193 ],
drivese.generator_I,kg*m**2,[5197408.24442128 2752875.38606201 2752875.38606201],
drivese.generator_rotor_I,kg*m**2,[1836783.84560065  972876.63394496  972876.63394496],
drivese.generator_stator_I,kg*m**2,[3360624.39882063 1779998.75211705 1779998.75211705],
