                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.305257       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -9.58982271020956e-03
 9.75543920420235e-01 -4.71025546582730e-03
 9.50868545738887e-01 -1.34057254239273e-03
 9.26093423869235e-01 -2.11200824389813e-05
 9.01342457087566e-01  4.98307982463233e-05
 8.76726230788992e-01 -1.09480109031741e-03
 8.52334028795624e-01 -3.65394406175832e-03
 8.28230950286962e-01 -7.31201299151263e-03
 8.04471210265408e-01 -1.19416269472363e-02
 7.81101564510475e-01 -1.74675944338897e-02
 7.58162859120175e-01 -2.38072623327161e-02
 7.35645585617014e-01 -3.07458741015485e-02
 7.13547595560809e-01 -3.81546387295802e-02
 6.91864250755535e-01 -4.59215906457456e-02
 6.70574601456337e-01 -5.39122409075587e-02
 6.49650530797360e-01 -6.19932252573946e-02
 6.29068660787356e-01 -7.00561616292112e-02
 6.08807251313716e-01 -7.80040173052353e-02
 5.88842730152202e-01 -8.57382423489958e-02
 5.69161881749267e-01 -9.31872217660221e-02
 5.49757160149119e-01 -1.00292995061152e-01
 5.30620378059598e-01 -1.06993558288945e-01
 5.11756520256325e-01 -1.13261204041473e-01
 4.93170768859993e-01 -1.19067763168525e-01
 4.74869953006143e-01 -1.24388290092617e-01
 4.56864711279638e-01 -1.29210016717076e-01
 4.39169045690942e-01 -1.33534753962316e-01
 4.21797913024403e-01 -1.37370465774093e-01
 4.04763076869510e-01 -1.40716540505918e-01
 3.88077449676252e-01 -1.43581310172654e-01
 3.71755463063721e-01 -1.45988433581955e-01
 3.55806721022720e-01 -1.47940671292940e-01
 3.40242758219119e-01 -1.49463045658512e-01
 3.25072212214326e-01 -1.50569833461984e-01
 3.10303485476709e-01 -1.51286199482776e-01
 2.95942281404125e-01 -1.51638559920441e-01
 2.81993458297240e-01 -1.51641572431597e-01
 2.68461615057866e-01 -1.51282625674665e-01
 2.55348183738839e-01 -1.50959984956705e-01
 2.42655530121930e-01 -1.50393831571457e-01
 2.30384079955964e-01 -1.49382494465130e-01
 2.18532612984239e-01 -1.47993292589337e-01
 2.07099755346664e-01 -1.46271185302558e-01
 1.96083201388111e-01 -1.44260144992421e-01
 1.85478615720811e-01 -1.42001650825304e-01
 1.75283075314499e-01 -1.39371707642331e-01
 1.65491802797989e-01 -1.36509468449688e-01
 1.56096557896356e-01 -1.33567151411701e-01
 1.47089790893417e-01 -1.30767630208202e-01
 1.38465777093673e-01 -1.27848268148271e-01
 1.30215898871146e-01 -1.24825042412995e-01
 1.22328903769363e-01 -1.21719225896445e-01
 1.14797598947205e-01 -1.18540534507040e-01
 1.07613490383049e-01 -1.15299992708415e-01
 1.00763373802617e-01 -1.12016962167569e-01
 9.42373125140606e-02 -1.08702152688955e-01
 8.80264762082451e-02 -1.05364084792543e-01
 8.21194220822259e-02 -1.02013331323728e-01
 7.65035759181144e-02 -9.86631805111610e-02
 7.11717356063819e-02 -9.53164013113427e-02
 6.61150495500811e-02 -9.19784684596146e-02
 6.13191177621470e-02 -8.86627346211225e-02
 5.67767637030275e-02 -8.53714953814067e-02
 5.24805128438542e-02 -8.21069310019179e-02
 4.84210694319116e-02 -7.88738625969385e-02
 4.45874696471520e-02 -7.56789094154107e-02
 4.09705445403400e-02 -7.25261728282277e-02
 3.75626397950479e-02 -6.94182780882564e-02
 3.43546138556982e-02 -6.63582881170331e-02
 3.13394186354902e-02 -6.33476824306655e-02
 2.85141947110917e-02 -6.03837101986976e-02
 2.58664694245119e-02 -5.74736052095536e-02
 2.33955798184093e-02 -5.46139076195924e-02
 2.10912498546237e-02 -5.18080902140204e-02
 1.89426922648870e-02 -4.90606319835044e-02
 1.69500757465608e-02 -4.63682976533144e-02
 1.51065429646107e-02 -4.37331174478072e-02
 1.34006065721590e-02 -4.11584144075070e-02
 1.18232072945273e-02 -3.86465405688851e-02
 1.03854972802896e-02 -3.61891434464583e-02
 9.07193128676015e-03 -3.37923073457818e-02
 7.87256918879711e-03 -3.14581504632026e-02
 6.77768779746552e-03 -2.91885893649293e-02
 5.80117850503259e-03 -2.69771855263596e-02
 4.92732661557687e-03 -2.48270891373393e-02
 4.13798545952767e-03 -2.27440650819403e-02
 3.40658905301452e-03 -2.07335205832827e-02
 2.75102146232103e-03 -1.87891206685724e-02
 2.21311636996486e-03 -1.68947739179901e-02
 1.76426971226532e-03 -1.50596579901762e-02
 1.38478452344473e-03 -1.32851153824194e-02
 1.09719122797517e-03 -1.15708801138865e-02
 8.71697862566928e-04 -9.91591007568127e-03
 6.90011822023705e-04 -8.32419164826648e-03
 5.41964878640263e-04 -6.79359179653887e-03
 4.12988163002788e-04 -5.32359927462761e-03
 2.90717797777731e-04 -3.91287413168758e-03
 1.85624985861422e-04 -2.55877943251331e-03
 9.04928181960462e-05 -1.25889385536789e-03
 0.00000000000000e+00  0.00000000000000e+00
 8.98313694561122e-05  1.23425699406913e-03
 1.83160295020962e-04  2.53299281117972e-03
 2.85261147397146e-04  3.88513650063410e-03
 4.03365233895527e-04  5.29290597888910e-03
 5.26721544419013e-04  6.75913036081924e-03
 6.65460203795950e-04  8.28520028304925e-03
 8.34520942534102e-04  9.87178839071403e-03
 1.04294714238172e-03  1.15218104360871e-02
 1.30188278680927e-03  1.32323692340905e-02
 1.64028164550485e-03  1.50041705321273e-02
 2.04671911960763e-03  1.68363594934635e-02
 2.53433513642430e-03  1.87304297142103e-02
 3.11070548022120e-03  2.06815464348558e-02
