                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.322344       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -1.20090188320081e-02
 9.81177391796263e-01 -7.35706327192361e-03
 9.62102086781378e-01 -3.92667027949105e-03
 9.42865730034865e-01 -1.97376572573149e-03
 9.23588864349841e-01 -1.20700549353096e-03
 9.04340613264577e-01 -1.49143641536744e-03
 8.85173218567770e-01 -2.46262636297112e-03
 8.66132689337380e-01 -4.27029054533022e-03
 8.47257820487442e-01 -6.84760100467173e-03
 8.28581353824476e-01 -1.01364757271984e-02
 8.10122789055248e-01 -1.40403803064275e-02
 7.91895328288897e-01 -1.84849606934848e-02
 7.73905077271367e-01 -2.33910439252241e-02
 7.56166199001494e-01 -2.87282300229859e-02
 7.38676344287111e-01 -3.44210416604379e-02
 7.21428186113615e-01 -4.03937877763352e-02
 7.04410682243062e-01 -4.65723197966644e-02
 6.87614905178024e-01 -5.28976182641272e-02
 6.71032479289356e-01 -5.93180493906611e-02
 6.54647745938979e-01 -6.57680826339688e-02
 6.38449485463752e-01 -7.21969630502546e-02
 6.22427746422242e-01 -7.85593317121366e-02
 6.06572448860020e-01 -8.48114721500723e-02
 5.90877116016036e-01 -9.09191218535072e-02
 5.75341300322740e-01 -9.68629213193667e-02
 5.59961240136117e-01 -1.02616027761875e-01
 5.44726658432786e-01 -1.08135919594097e-01
 5.29644946798505e-01 -1.13424325353916e-01
 5.14709577382878e-01 -1.18446548114546e-01
 4.99926700038390e-01 -1.23201388617113e-01
 4.85297933397958e-01 -1.27676921813280e-01
 4.70829071116071e-01 -1.31870785111118e-01
 4.56522237836840e-01 -1.35772619079977e-01
 4.42384008189860e-01 -1.39385039167520e-01
 4.28416410369419e-01 -1.42696687029481e-01
 4.14626141373221e-01 -1.45713838507422e-01
 4.01012696296361e-01 -1.48413608678951e-01
 3.87587176355364e-01 -1.50810861664615e-01
 3.74353508584556e-01 -1.52543905818894e-01
 3.61319189895040e-01 -1.53889957732302e-01
