                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.430174       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -4.19912400594510e-03
 9.73063130472508e-01 -6.43593977823256e-03
 9.46431893763018e-01 -9.10775879165034e-03
 9.20340175135672e-01 -1.49971014466760e-02
 8.94800672643588e-01 -2.08931290525663e-02
 8.69813498214587e-01 -2.85551771426770e-02
 8.45307050863271e-01 -3.75962821204627e-02
 8.20888321282529e-01 -4.76514483280363e-02
 7.96738068788220e-01 -5.83216451330914e-02
 7.73036814589815e-01 -6.95314710625260e-02
 7.49729458246720e-01 -8.09494791039757e-02
 7.26834601212390e-01 -9.25417528971314e-02
 7.04296879033392e-01 -1.04067594915995e-01
 6.82068933116714e-01 -1.15319070539028e-01
 6.60148401770010e-01 -1.26297245107269e-01
 6.38481604719330e-01 -1.36788728626556e-01
 6.17063067233864e-01 -1.46768350813537e-01
 5.95882463553919e-01 -1.56175802055596e-01
 5.74525336862166e-01 -1.64987386160723e-01
 5.53185388112948e-01 -1.73202643757719e-01
 5.32025849779753e-01 -1.80707205646320e-01
 5.11076538145686e-01 -1.87499107714776e-01
 4.90404313467565e-01 -1.93679744482017e-01
 4.69966224772937e-01 -1.99057046578865e-01
 4.49859680495042e-01 -2.03837831819436e-01
 4.30047282369764e-01 -2.07811701804794e-01
 4.10591572244265e-01 -2.11103186037691e-01
 3.91521186774613e-01 -2.13761346688449e-01
 3.72850646264953e-01 -2.15742251055793e-01
 3.54602177095047e-01 -2.17031941321739e-01
 3.36805696140746e-01 -2.17853773569835e-01
 3.19473484198638e-01 -2.17982375434770e-01
 3.02621719031764e-01 -2.17618002830301e-01
 2.86258897634322e-01 -2.16781397436931e-01
 2.70407021423851e-01 -2.15442074787053e-01
 2.55071670572866e-01 -2.13621411089641e-01
 2.40266662335839e-01 -2.11337676960879e-01
 2.25966085387233e-01 -2.08698062384477e-01
 2.12207122989401e-01 -2.05621319018418e-01
 1.98982723969563e-01 -2.02134637327265e-01
 1.86279216279599e-01 -1.98266125505818e-01
 1.74126427007331e-01 -1.93921992709299e-01
 1.62477755612921e-01 -1.89114460876240e-01
 1.51373741381943e-01 -1.83601617383431e-01
 1.40773634950727e-01 -1.77059003651697e-01
 1.30693957608090e-01 -1.73204583389685e-01
 1.21144699333358e-01 -1.69191885520745e-01
 1.12056860881385e-01 -1.65070484054814e-01
 1.03507791690875e-01 -1.60790130724675e-01
 9.54151878612789e-02 -1.56425698578400e-01
 8.78203051771625e-02 -1.51960319520841e-01
 8.06943155772119e-02 -1.47416709587596e-01
 7.39973823230860e-02 -1.42824984735978e-01
 6.77760978119269e-02 -1.38165381432626e-01
 6.19450037531841e-02 -1.33486989728958e-01
 5.64959591539973e-02 -1.28799239175036e-01
 5.14327140501067e-02 -1.24104704350149e-01
 4.67055583118698e-02 -1.19429817922206e-01
 4.24067670900434e-02 -1.14751331329584e-01
 3.84230128098450e-02 -1.10115358250180e-01
 3.46883027320670e-02 -1.05545279139604e-01
 3.13292445056563e-02 -1.01015633890577e-01
 2.82612047089482e-02 -9.65506976472646e-02
 2.54519026232314e-02 -9.21606577943035e-02
 2.28709220835562e-02 -8.78531204249551e-02
 2.04698824591560e-02 -8.36399322817224e-02
 1.83181165536199e-02 -7.95100296655440e-02
 1.63544783240176e-02 -7.54768658395368e-02
 1.45514318726928e-02 -7.15460218197183e-02
 1.28942887306933e-02 -6.77255377040219e-02
 1.14177906269543e-02 -6.40157593448103e-02
 1.00855804845821e-02 -6.04202602767706e-02
 8.88603590141565e-03 -5.69386521651153e-02
 7.82362905212719e-03 -5.35707113461494e-02
 6.87846553598524e-03 -5.03176730601068e-02
 6.03777720641952e-03 -4.71733338568088e-02
 5.30931744899574e-03 -4.41320367053030e-02
 4.67415319069849e-03 -4.11981380198463e-02
 4.09465937958481e-03 -3.83711742432738e-02
 3.56278141563016e-03 -3.56476932166294e-02
 3.12087317773868e-03 -3.30246607927681e-02
 2.75755380613403e-03 -3.04990021586740e-02
 2.43293641618122e-03 -2.80745689884855e-02
 2.12028272852527e-03 -2.57493843550922e-02
 1.82138447082762e-03 -2.35213078919492e-02
 1.55271617757545e-03 -2.13877391101466e-02
 1.32136584836394e-03 -1.93434969504953e-02
 1.11687153298833e-03 -1.73846979260635e-02
 9.28177633708359e-04 -1.55082956657118e-02
 7.54435616617338e-04 -1.37111387275587e-02
 6.13860127206790e-04 -1.19896922761709e-02
 5.09535720561498e-04 -1.03408941652533e-02
 4.22232241645862e-04 -8.76272345893337e-03
 3.32227459278371e-04 -7.25309566053232e-03
 2.07484646284438e-04 -5.81077278772140e-03
 1.15439733829011e-04 -4.43334771177967e-03
 8.00956515771056e-05 -3.11917680888879e-03
 5.10726408570016e-05 -1.87137161612824e-03
 2.79391274615694e-05 -7.09141016429872e-04
 0.00000000000000e+00  0.00000000000000e+00
 2.11812038466436e-05  1.08841026486687e-03
 4.91192799522121e-05  2.31432876967727e-03
 1.08711564579581e-04  3.60886252389405e-03
 2.02371796372418e-04  4.96421691138677e-03
 3.13180311168253e-04  6.38225274653070e-03
 4.00237602674866e-04  7.86675994778724e-03
 4.82458390514056e-04  9.41912301740075e-03
 5.75139608050679e-04  1.10406703842703e-02
 6.98976641626408e-04  1.27323873172195e-02
 8.73444358372456e-04  1.44966166789303e-02
 1.06471304962342e-03  1.63387896543679e-02
 1.25538068180859e-03  1.82634621747734e-02
 1.46473271386594e-03  2.02722273802537e-02
 1.71003324800232e-03  2.23667389471119e-02
 1.99192916607693e-03  2.45141765760358e-02
 2.28407131258407e-03  2.67253654333581e-02
 2.56636949806440e-03  2.90332784060423e-02
 2.85719790241821e-03  3.14408999032029e-02
 3.18627726682645e-03  3.39499508579647e-02
 3.59284549319308e-03  3.65572782773880e-02
 4.07075580884094e-03  3.92670468382270e-02
 4.57607445913255e-03  4.20828240957603e-02
 5.11954322995935e-03  4.50073359164819e-02
 5.75277881906024e-03  4.80343700115646e-02
 6.51039424248864e-03  5.11644990422359e-02
 7.37193181083865e-03  5.43976986380995e-02
 8.33645723393852e-03  5.77501111386407e-02
 9.42886491721286e-03  6.12191542952755e-02
 1.06677433160496e-02  6.48015749916387e-02
 1.20452547992067e-02  6.85038406008221e-02
 1.35761646515703e-02  7.23241773835519e-02
 1.52586614194637e-02  7.62617807507745e-02
 1.70749586399322e-02  8.03153686329920e-02
 1.90782702388926e-02  8.44757749057008e-02
 2.12872119412589e-02  8.87403077789777e-02
