                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.365250       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -6.20975490025177e-04
 9.73973023340537e-01 -1.94399013858082e-03
 9.47936682539491e-01 -3.44593259275227e-03
 9.22018713629008e-01 -5.15458417155464e-03
 8.96227213301433e-01 -6.47428653270963e-03
 8.70691706308234e-01 -9.49439919398604e-03
 8.45512543276580e-01 -1.41127817016691e-02
 8.20690126922854e-01 -2.00720619975837e-02
 7.96280949630256e-01 -2.70388976422631e-02
 7.72326859777833e-01 -3.48231562146577e-02
 7.48844235718373e-01 -4.32770308282625e-02
 7.25834680608679e-01 -5.22725572830909e-02
 7.03263360885318e-01 -6.16033379366485e-02
 6.81099383557346e-01 -7.11079974473820e-02
 6.59299380958321e-01 -8.06320177320613e-02
 6.37830806011438e-01 -9.00456692094936e-02
 6.16665382641563e-01 -9.92453495544087e-02
 5.95781867074997e-01 -1.08142653062205e-01
 5.75095243102672e-01 -1.16667404514975e-01
 5.54637321777540e-01 -1.24781259678900e-01
 5.34433906429737e-01 -1.32427556216546e-01
 5.14492201166498e-01 -1.39576509649109e-01
 4.94828589792091e-01 -1.46219627026846e-01
 4.75445972516095e-01 -1.52323463013362e-01
 4.56363579932968e-01 -1.57884783780380e-01
 4.37585083105202e-01 -1.62866295035447e-01
 4.19122124566702e-01 -1.67237686055582e-01
 4.00993584333496e-01 -1.71004850429678e-01
 3.83220328911350e-01 -1.74189911545644e-01
 3.65821069000318e-01 -1.76810953181940e-01
 3.48813837318330e-01 -1.78905494059903e-01
 3.32212605398331e-01 -1.80473502481414e-01
 3.16030646770415e-01 -1.81549228473407e-01
 3.00279241515122e-01 -1.82158837163712e-01
 2.84969274932452e-01 -1.82305130239751e-01
 2.70108297198052e-01 -1.82052100275326e-01
 2.55703924930235e-01 -1.81361681679428e-01
 2.41758504059780e-01 -1.80282138587846e-01
 2.28279040855563e-01 -1.78834995030901e-01
 2.15266766255429e-01 -1.77037485288647e-01
 2.02720568174113e-01 -1.74908580892451e-01
 1.90642182464882e-01 -1.72458347653017e-01
 1.79025477981727e-01 -1.69681991411742e-01
 1.67871008354342e-01 -1.66549578753751e-01
 1.57170027227575e-01 -1.62975339575727e-01
 1.46925353406651e-01 -1.59995961809011e-01
 1.37131774116018e-01 -1.56841267623846e-01
 1.27776664813041e-01 -1.53524434735316e-01
 1.18864038400191e-01 -1.50057343554063e-01
 1.10376223131165e-01 -1.46464253348345e-01
 1.02310703106485e-01 -1.42761305568825e-01
 9.46612619064452e-02 -1.38953487384411e-01
 8.74175925312850e-02 -1.35053492853427e-01
 8.05803948610914e-02 -1.31069209106649e-01
 7.41335991770091e-02 -1.27013738596589e-01
 6.80680886998354e-02 -1.22901715855741e-01
 6.23776172112927e-02 -1.18743744091433e-01
 5.70467104425935e-02 -1.14555267121291e-01
 5.20726407249200e-02 -1.10353598309526e-01
 4.74313473624546e-02 -1.06153381453174e-01
 4.31039536967006e-02 -1.01967553552984e-01
 3.90877618365592e-02 -9.78128279621575e-02
 3.53653994719941e-02 -9.36958257572447e-02
 3.19257679553458e-02 -8.96221326758406e-02
 2.87565845595095e-02 -8.55984000449075e-02
 2.58426320534228e-02 -8.16317374583237e-02
 2.31797906926225e-02 -7.77297081196076e-02
 2.07499943368805e-02 -7.38991943688031e-02
 1.85385051543046e-02 -7.01458797544713e-02
 1.65223760490254e-02 -6.64826199886466e-02
 1.46798816746823e-02 -6.29213705257708e-02
 1.29989624462338e-02 -5.94626182748093e-02
 1.14689187511780e-02 -5.61065389019814e-02
 1.00764320623772e-02 -5.28563454966762e-02
 8.80879841874840e-03 -4.97128841580318e-02
 7.67571469526291e-03 -4.66679623640316e-02
 6.68043125137467e-03 -4.37151071210922e-02
 5.79823371285441e-03 -4.08625003145372e-02
 5.02434202631504e-03 -3.81071516499643e-02
 4.35149165311847e-03 -3.54460442450896e-02
 3.78724695520820e-03 -3.28797721926777e-02
 3.31211591435800e-03 -3.04062917201144e-02
 2.90011457583389e-03 -2.80303603027123e-02
 2.53890745712005e-03 -2.57488651667012e-02
 2.20972368081737e-03 -2.35613478493169e-02
 1.89952851985799e-03 -2.14670791234244e-02
 1.61440787738922e-03 -1.94608606497281e-02
 1.36201211487845e-03 -1.75380932506681e-02
 1.13639488053856e-03 -1.56952528913060e-02
 9.40888192714248e-04 -1.39293763828329e-02
 7.74381672724846e-04 -1.22373189041221e-02
 6.34857201924185e-04 -1.06164009866273e-02
 5.24729034748739e-04 -9.06413046959449e-03
 4.33608724482114e-04 -7.57757108465911e-03
 3.48552206357124e-04 -6.15479424651846e-03
 2.69893992503935e-04 -4.79387516510859e-03
 2.00387915712852e-04 -3.49222377161577e-03
 1.35234541968870e-04 -2.24722262398821e-03
 7.05988957175810e-05 -1.05696113027042e-03
 0.00000000000000e+00  0.00000000000000e+00
 6.97172185003810e-05  1.11451097038484e-03
 1.42623310804388e-04  2.30388368933025e-03
 2.22358834405166e-04  3.55051899683193e-03
 3.11382648472482e-04  4.85403509403797e-03
 4.06445311103319e-04  6.21657934123755e-03
 5.06645711545833e-04  7.64028128771688e-03
 6.20309756964314e-04  9.12696372313341e-03
 7.52382527516978e-04  1.06792778737725e-02
 9.07482162339113e-04  1.22991082084212e-02
 1.09426189373680e-03  1.39884105137474e-02
 1.31181210182630e-03  1.57506136633995e-02
 1.55183437392873e-03  1.75888797535004e-02
 1.82353355572314e-03  1.95057800642484e-02
 2.11152244331419e-03  2.15069304477365e-02
 2.39744108909475e-03  2.35921620638480e-02
 2.68872229845507e-03  2.57648708108793e-02
 3.00313340941519e-03  2.80306324178777e-02
 3.35253408413681e-03  3.03928534083364e-02
 3.74399525772658e-03  3.28543368143283e-02
 4.21098236907256e-03  3.54107546417469e-02
