                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.215929       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -8.40950898361920e-04
 9.75889447827157e-01  1.85166801608137e-03
 9.51750746485362e-01  3.90253183450164e-03
 9.27620425834624e-01  5.27165934863909e-03
 9.03518595992989e-01  6.01949180171437e-03
 8.79502334278432e-01  5.92589034156569e-03
 8.55629359714236e-01  4.99655469810005e-03
 8.31949567373845e-01  3.26562046360780e-03
 8.08505665888091e-01  8.09374377920399e-04
 7.85343865254099e-01 -2.31192556873196e-03
 7.62503658587405e-01 -6.07624925504797e-03
 7.40006727877953e-01 -1.03629919301607e-02
 7.17869954459121e-01 -1.50940505625806e-02
 6.96104653910010e-01 -2.01960746392719e-02
 6.74719332372736e-01 -2.56037914268879e-02
 6.53712052462372e-01 -3.12272411564730e-02
 6.33075954478866e-01 -3.69754418873401e-02
 6.12801182160212e-01 -4.27615625169899e-02
 5.92879508450219e-01 -4.85107717080277e-02
 5.73299637937477e-01 -5.41419811029058e-02
 5.54050649697685e-01 -5.95747271681919e-02
 5.35130141028790e-01 -6.47650487431807e-02
 5.16536178878110e-01 -6.96704529315184e-02
 4.98270364819880e-01 -7.42571918052646e-02
 4.80326762694604e-01 -7.84505664377415e-02
 4.62706836817407e-01 -8.22063127041733e-02
 4.45420148665029e-01 -8.55140633384369e-02
 4.28477888580315e-01 -8.83718455984170e-02
 4.11892308526232e-01 -9.07925595426663e-02
 3.95675309888005e-01 -9.27926041222200e-02
 3.79838794382444e-01 -9.43299565444225e-02
 3.64390725288082e-01 -9.55097717588759e-02
 3.49338117002962e-01 -9.63383777784731e-02
 3.34688132294380e-01 -9.68636447507780e-02
 3.20444641438165e-01 -9.70926031991347e-02
 3.06610377471223e-01 -9.69994972236272e-02
 2.93186770185237e-01 -9.67423283111595e-02
 2.80174007378011e-01 -9.62184347175802e-02
 2.67570334809250e-01 -9.54926807439379e-02
 2.55373195790538e-01 -9.45907354160901e-02
 2.43578449901223e-01 -9.35341724671041e-02
 2.32182507262795e-01 -9.23265230278445e-02
 2.21179898579910e-01 -9.09897526825714e-02
 2.10564366288973e-01 -8.95408552798938e-02
 2.00329045606396e-01 -8.79941938743336e-02
 1.90468712732624e-01 -8.63502069706449e-02
 1.80974841086862e-01 -8.46231571480845e-02
 1.71839795610644e-01 -8.28300265136362e-02
 1.63054425352408e-01 -8.09850441068223e-02
 1.54611272779715e-01 -7.90911880254999e-02
 1.46501232573639e-01 -7.71562476150939e-02
 1.38713217951851e-01 -7.52009556140072e-02
 1.31238944966787e-01 -7.32304568538396e-02
 1.24071096971194e-01 -7.12431454360867e-02
 1.17199126368501e-01 -6.92495327591954e-02
 1.10613740899521e-01 -6.72559906759521e-02
 1.04307880187917e-01 -6.52587334576208e-02
 9.82707629776145e-02 -6.32687936983402e-02
 9.24930537478582e-02 -6.12910090284067e-02
 8.69668043245560e-02 -5.93278261275884e-02
 8.16835202211974e-02 -5.73809679410082e-02
 7.66341021979122e-02 -5.55058899485543e-02
 7.18106057899463e-02 -5.36827889068820e-02
 6.72056004460991e-02 -5.18783065229171e-02
 6.28106199586936e-02 -5.00947025077403e-02
 5.86166675953417e-02 -4.83353986926844e-02
 5.46168286478827e-02 -4.65987950414613e-02
 5.08052540110112e-02 -4.48832181331557e-02
 4.71758369530671e-02 -4.31863745485210e-02
 4.37216671802898e-02 -4.15103823832235e-02
 4.04367648600707e-02 -3.98570841527755e-02
 3.73139744452006e-02 -3.82276510385796e-02
 3.43489212044010e-02 -3.66195981234731e-02
 3.15359290440227e-02 -3.50347796368798e-02
