                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.870049       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -4.91944553863287e-03
 9.87717062727606e-01 -2.07468656262507e-02
 9.75317343988661e-01 -4.11699295201679e-02
 9.62779542899435e-01 -6.10934346887290e-02
 9.50178671934473e-01 -8.23978387987268e-02
 9.37473524291467e-01 -1.03700357555296e-01
 9.24494192688711e-01 -1.24370272303364e-01
 9.11363494398721e-01 -1.44815360697736e-01
 8.97874755848950e-01 -1.64956023713683e-01
 8.84025512101884e-01 -1.84772408192167e-01
 8.69570138181572e-01 -2.04167201103843e-01
 8.54601153114464e-01 -2.23121469509509e-01
 8.39057720529312e-01 -2.41560196030232e-01
 8.22873105158555e-01 -2.59430604753524e-01
 8.06191291602101e-01 -2.76620096396685e-01
 7.88945601599125e-01 -2.92301149931373e-01
 7.71212358584525e-01 -3.07146272364954e-01
 7.53030324561152e-01 -3.21146438235578e-01
 7.34716742139902e-01 -3.34311907091046e-01
 7.16226795243115e-01 -3.46657524743988e-01
 6.97452270289423e-01 -3.58073362891638e-01
 6.78450146141170e-01 -3.68552657838981e-01
 6.59305607653397e-01 -3.78229050090769e-01
 6.39988408267471e-01 -3.86865551403109e-01
 6.20625895240579e-01 -3.94739337202269e-01
 6.01196321852656e-01 -4.01574117253422e-01
 5.81777547536423e-01 -4.07592121763400e-01
 5.62422376466427e-01 -4.12841170240897e-01
 5.43152986520278e-01 -4.17226104571649e-01
 5.23999682476153e-01 -4.20722480119967e-01
 5.05014240460042e-01 -4.23596653585556e-01
 4.86218149458302e-01 -4.25521316115678e-01
 4.67641918831153e-01 -4.26793013818763e-01
 4.49314275157946e-01 -4.27378723774114e-01
 4.31264951795070e-01 -4.27294459629529e-01
 4.13519987636105e-01 -4.26461801183094e-01
 3.96107181207696e-01 -4.24926361486738e-01
 3.79010808432249e-01 -4.22973239276564e-01
 3.62291451398030e-01 -4.20366628384638e-01
 3.45948795824447e-01 -4.17195746955303e-01
 3.29990127113314e-01 -4.13595064436585e-01
 3.14458732380695e-01 -4.09356432054984e-01
 2.99319811949771e-01 -4.04735245778744e-01
 2.84634617524112e-01 -3.99614964768960e-01
 2.70367918852640e-01 -3.94092620159779e-01
 2.56555528381223e-01 -3.88199639347598e-01
 2.43212501710693e-01 -3.81874185969632e-01
 2.30289275587651e-01 -3.75313535943649e-01
 2.17868290400518e-01 -3.68342544169894e-01
 2.05884210228553e-01 -3.61149566113787e-01
 1.94384493111820e-01 -3.53648486478012e-01
 1.83350328530052e-01 -3.45923592102812e-01
 1.72746208969361e-01 -3.38031274837812e-01
 1.62630218440207e-01 -3.29924135089254e-01
 1.52918288583598e-01 -3.21718500583671e-01
 1.43611510862421e-01 -3.13435192460450e-01
 1.34716781909748e-01 -3.05063024648774e-01
 1.26196282935157e-01 -2.96667640467843e-01
 1.18146716060126e-01 -2.88139377055339e-01
 1.10468827525026e-01 -2.79607059754451e-01
 1.03090377742906e-01 -2.71109594803546e-01
 9.61624262515326e-02 -2.62556305260224e-01
 8.95872803150487e-02 -2.54001388631851e-01
 8.33494904226310e-02 -2.45489813672475e-01
 7.74071865766447e-02 -2.37028806988096e-01
 7.17252836694755e-02 -2.28655746489175e-01
 6.63775304217288e-02 -2.20323619918278e-01
 6.12988357298760e-02 -2.12062588112870e-01
 5.64784416484250e-02 -2.03895573781773e-01
 5.18931924964309e-02 -1.95809663864814e-01
 4.76061910691416e-02 -1.87789802543152e-01
 4.35721030562222e-02 -1.79851253565222e-01
 3.97776367710728e-02 -1.71996659776113e-01
 3.62487505921229e-02 -1.64230347945428e-01
 3.29453441486771e-02 -1.56551133173781e-01
 2.98538775882365e-02 -1.48973994153913e-01
 2.69806304420169e-02 -1.41508155969757e-01
 2.42952638912780e-02 -1.34141365931967e-01
 2.17753671378597e-02 -1.26892336563414e-01
 1.94090522639411e-02 -1.19762588736568e-01
 1.72139223932399e-02 -1.12738657142192e-01
 1.52080450150789e-02 -1.05825924779413e-01
 1.33549934015910e-02 -9.90260173456482e-02
 1.16087267318337e-02 -9.23398533678253e-02
 1.00018112227384e-02 -8.57694662109613e-02
 8.55683465204682e-03 -7.93116940465152e-02
 7.24144620931340e-03 -7.29609116647791e-02
 6.05851757745648e-03 -6.67233723496833e-02
 5.01242020293149e-03 -6.06038651376182e-02
 4.04977366311535e-03 -5.45963057747865e-02
 3.20248228832168e-03 -4.87003361374175e-02
 2.50283711387393e-03 -4.29175065961629e-02
 1.90421190568804e-03 -3.72476143473293e-02
 1.34459291071498e-03 -3.16879866421647e-02
 8.40056882153343e-04 -2.62412426565638e-02
 5.02448503352584e-04 -2.09040601410273e-02
 2.97766580743097e-04 -1.56672151067633e-02
 1.31004452505475e-04 -1.05224087331046e-02
 3.66569129379133e-05 -5.44131443874364e-03
 0.00000000000000e+00  0.00000000000000e+00
 2.96036937062579e-05  4.57188100561534e-03
 1.27462695549762e-04  9.55638068347720e-03
 3.14145408013324e-04  1.46452235256395e-02
 5.69769567057113e-04  1.98356322860880e-02
 9.15050659440008e-04  2.51317841705432e-02
 1.36656923076361e-03  3.05397277234068e-02
 1.90092517590090e-03  3.60569754346674e-02
 2.48869281028517e-03  4.16798930545996e-02
 3.19524570378420e-03  4.74112154148561e-02
 4.06132246474088e-03  5.32523237915780e-02
 5.02340961738002e-03  5.92024693374408e-02
 6.05540179726635e-03  6.52617275375244e-02
 7.22220746981534e-03  7.14340932625217e-02
 8.54138620143816e-03  7.77130515152330e-02
 1.00059494297476e-02  8.41143520102501e-02
 1.16164096846203e-02  9.06439905798351e-02
 1.33453958308894e-02  9.72898656595514e-02
 1.51865826253832e-02  1.04043735487344e-01
 1.71891872645605e-02  1.10903573197453e-01
 1.93874062957852e-02  1.17870159157751e-01
 2.17411525688186e-02  1.24940179598186e-01
 2.42323059275884e-02  1.32125891473968e-01
 2.68719275848008e-02  1.39427904560353e-01
 2.96878163458902e-02  1.46830552433150e-01
 3.27266491924389e-02  1.54337084659355e-01
 3.59673235633995e-02  1.61949424219281e-01
 3.94257312196647e-02  1.69645395620933e-01
 4.31457561238979e-02  1.77423384861458e-01
 4.71213439321041e-02  1.85277604613909e-01
 5.13503662594027e-02  1.93201621438675e-01
 5.58582899664119e-02  2.01194785076499e-01
 6.06188563922978e-02  2.09252105485636e-01
 6.56188187912765e-02  2.17399043340636e-01
 7.09005314475567e-02  2.25603249066934e-01
 7.64796313077773e-02  2.33850345499460e-01
 8.23484773785342e-02  2.42159545043132e-01
 8.84555033056438e-02  2.50540113111883e-01
 9.49104506470686e-02  2.58946788806556e-01
 1.01715301826416e-01  2.67347173157606e-01
 1.08870585666891e-01  2.75757689911885e-01
 1.16371131749174e-01  2.84163841596669e-01
 1.24216364440055e-01  2.92572470998982e-01
 1.32417964807834e-01  3.00966531634242e-01
 1.41031589955548e-01  3.09282076233759e-01
 1.50047471443088e-01  3.17537111578518e-01
 1.59424473095786e-01  3.25746600100588e-01
 1.69216385438209e-01  3.33865604301568e-01
 1.79429531265004e-01  3.41844528036169e-01
 1.90092700352688e-01  3.49666365838017e-01
 2.01197874849762e-01  3.57293651727596e-01
 2.12776635380437e-01  3.64685184078778e-01
 2.24796695505646e-01  3.71840213319947e-01
 2.37264872109771e-01  3.78735084520474e-01
 2.50209031079780e-01  3.85291845660150e-01
 2.63581909547805e-01  3.91556327633712e-01
 2.77411662167891e-01  3.97467646740027e-01
 2.91690677026068e-01  4.02946715387186e-01
 3.06402316974190e-01  4.08063400025120e-01
 3.21531020971562e-01  4.12702442226603e-01
 3.37088800691449e-01  4.16896370420792e-01
 3.53059558464154e-01  4.20421626992808e-01
 3.69440524413741e-01  4.23431567776427e-01
 3.86189418051144e-01  4.25777103780053e-01
 4.03286346795846e-01  4.27631942951840e-01
 4.20720487677164e-01  4.28692080310553e-01
 4.38451992020662e-01  4.29179048741190e-01
 4.56476127622429e-01  4.28826757971519e-01
 4.74745578485890e-01  4.27888713525139e-01
 4.93243487175767e-01  4.26114871384775e-01
 5.11940240992369e-01  4.23572171687681e-01
 5.30801489600654e-01  4.20336323576876e-01
 5.49786467053382e-01  4.16213035769568e-01
 5.68882610744427e-01  4.11354460455547e-01
 5.88042108837239e-01  4.05715632083672e-01
 6.07240276493668e-01  3.99269600419885e-01
 6.26425658895071e-01  3.91937329598617e-01
 6.45581316749666e-01  3.83855819173729e-01
 6.64663378310839e-01  3.74916328187700e-01
 6.83635292355284e-01  3.65165418310268e-01
