                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.695484       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -7.77889070416687e-03
 9.77094970159177e-01 -1.74451081725274e-02
 9.54496364011453e-01 -3.18657923854586e-02
 9.32400610746277e-01 -4.69663524925162e-02
 9.10835242433963e-01 -6.39561099866745e-02
 8.89733076781077e-01 -8.14620660404473e-02
 8.68926620714723e-01 -9.88316722755025e-02
 8.48922460895431e-01 -1.16237483182226e-01
 8.29182864028247e-01 -1.33514569901185e-01
 8.09594655751153e-01 -1.50712758681631e-01
 7.89735599209556e-01 -1.67542799582441e-01
 7.69736419963119e-01 -1.84043037177527e-01
 7.49453442925672e-01 -2.00065082280995e-01
 7.28757846012742e-01 -2.15476843680485e-01
 7.07866618376384e-01 -2.30284271975559e-01
 6.86615407794796e-01 -2.43814300283792e-01
 6.65113065929194e-01 -2.56529346684952e-01
 6.43401229927409e-01 -2.68406185640089e-01
 6.22249536939672e-01 -2.79460790918563e-01
 6.01435453044993e-01 -2.89713998023633e-01
 5.80632668352218e-01 -2.99006777995682e-01
 5.59887321968451e-01 -3.07342399746629e-01
 5.39290777085296e-01 -3.14906294792389e-01
 5.18786528553722e-01 -3.21359331161815e-01
 4.98510871730427e-01 -3.27093479455505e-01
 4.78415528466619e-01 -3.31724829026715e-01
 4.58587463564697e-01 -3.35541302275067e-01
 4.39066662365859e-01 -3.38628525868321e-01
 4.19867723615085e-01 -3.40854146477692e-01
 4.01016885116156e-01 -3.42163058386463e-01
 3.82555487409916e-01 -3.42975027748587e-01
 3.64498094176301e-01 -3.42794969540587e-01
 3.46866481525044e-01 -3.42032919766348e-01
 3.29674232119255e-01 -3.40688149655049e-01
 3.12950215712301e-01 -3.38719249421949e-01
 2.96705472086432e-01 -3.36049676236427e-01
 2.80960584028943e-01 -3.32793134532004e-01
 2.65681431499591e-01 -3.29230962912812e-01
 2.50924394407398e-01 -3.25099783882330e-01
 2.36681186890225e-01 -3.20502687566912e-01
 2.22939398656098e-01 -3.15580043313583e-01
 2.09744289518958e-01 -3.10124860564239e-01
 1.97036487088073e-01 -3.04453369119993e-01
 1.84878940099264e-01 -2.98350623843673e-01
 1.73219645570154e-01 -2.92008054504406e-01
 1.62086462128364e-01 -2.85394025125233e-01
 1.51497070370000e-01 -2.78462387662697e-01
 1.41365493397030e-01 -2.71456754999510e-01
 1.31800272052857e-01 -2.64130609357886e-01
 1.22698041931090e-01 -2.56731550193319e-01
 1.14119587074157e-01 -2.49135037347536e-01
 1.06029899991892e-01 -2.41435688271255e-01
 9.83785085955610e-02 -2.33727438087673e-01
 9.12338700052769e-02 -2.25906086662496e-01
 8.44830131737458e-02 -2.18155760056818e-01
 7.81209838337208e-02 -2.10482867288891e-01
 7.21564861555957e-02 -2.02867835918826e-01
 6.65297305467937e-02 -1.95392832413819e-01
 6.13721675598075e-02 -1.87878179220408e-01
 5.65390928523756e-02 -1.80505742170177e-01
 5.19440682968393e-02 -1.73347389870579e-01
 4.77722330490479e-02 -1.66214205927595e-01
 4.39083589030686e-02 -1.59204933076887e-01
 4.03168765440566e-02 -1.52361548105283e-01
 3.69569020792857e-02 -1.45699582811537e-01
 3.37712084597396e-02 -1.39261276631741e-01
 3.08592327948696e-02 -1.32957131582743e-01
 2.81419050824790e-02 -1.26833394765971e-01
 2.55918561332873e-02 -1.20903183796563e-01
 2.31951789587970e-02 -1.15151273867619e-01
 2.10169894084344e-02 -1.09528478523694e-01
 1.90088451187756e-02 -1.04054957004150e-01
 1.71582821382760e-02 -9.87297404526308e-02
 1.54830363255443e-02 -9.35406658146217e-02
 1.39543754023462e-02 -8.84902344514362e-02
 1.25507062818784e-02 -8.35872933578244e-02
 1.12810996558021e-02 -7.88345441612364e-02
 1.01254379412480e-02 -7.42158554070707e-02
 9.03827063348967e-03 -6.97472915622142e-02
 8.01021427354818e-03 -6.54252963818028e-02
 7.08939353296425e-03 -6.12286748123293e-02
 6.27630782002501e-03 -5.71526360458794e-02
 5.52689435384024e-03 -5.31965507125332e-02
 4.80325184109408e-03 -4.93639289689611e-02
 4.12409558765729e-03 -4.56467961530498e-02
 3.51881837246208e-03 -4.20345310834488e-02
