Time [min], Velocity [m/s]
20448,2.0621
20453,1.7846
20458,1.635
20464,1.5833
20469,1.5
20474,1.3858
20479,1.3663
20484,1.3916
20490,1.1681
20495,1.0321
20500,0.90093
20505,0.83768
20510,0.7414
20516,0.76561
20521,0.79371
20526,0.69909
20531,0.55402
20536,0.53647
20542,0.43711
20547,0.31944
20552,0.21717
20557,0.13501
20562,0.070817
20568,0.13868
20573,0.26528
20578,0.41737
20583,0.49785
20589,0.60521
20594,0.98749
20599,1.1119
20604,1.154
20609,1.2407
20615,1.3592
20620,1.6308
20625,1.9326
20630,2.0133
20635,2.0752
20641,2.1268
20646,2.1352
20651,2.2102
20656,2.2712
20661,2.269
20667,2.3848
20672,2.2964
20677,2.3593
20682,2.3861
20687,2.3969
20693,2.4501
20698,2.4949
20703,2.4898
20708,2.5609
20714,2.5134
20719,2.5902
20724,2.5761
20729,2.5382
20734,2.5567
20740,2.5538
20745,2.4818
20750,2.2712
20755,2.4457
20760,2.3819
20766,2.3135
20771,2.2966
20776,2.2401
20781,2.2145
20786,2.2286
20792,2.2283
20797,2.1647
20802,2.1409
20807,2.0917
20812,2.0363
20818,1.9765
20823,1.9654
20828,1.9131
20833,1.8212
20839,1.8078
20844,1.6918
20849,1.6866
20854,1.6218
20859,1.5315
20865,1.5093
20870,1.4346
20875,1.3473
20880,1.2487
20885,1.1601
20891,1.1143
20896,1.0184
20901,0.88972
20906,0.82082
20911,0.69764
20917,0.56599
20922,0.45825
20927,0.32735
20932,0.21929
20937,0.064977
20943,0.15683
20948,0.33487
20953,0.52213
20958,0.61045
20964,0.74316
20969,0.94073
20974,0.97206
20979,1.0425
20984,1.1529
20990,1.2906
20995,1.3841
21000,1.4614
21005,1.5851
21010,1.719
21016,1.8445
21021,1.9188
21026,2.0034
21031,2.101
21036,2.1585
21042,2.1239
21047,2.0586
21052,2.0522
21057,2.1128
21063,2.2722
21068,2.1866
21073,2.1403
21078,2.0437
21083,2.1911
21089,2.0737
21094,1.7467
21099,2.0694
21104,2.1788
21109,2.3342
21115,2.3848
21120,2.3272
21125,2.3721
21130,2.3451
21135,2.2478
21141,2.2551
21146,2.1778
21151,2.0905
21156,2.0106
21161,2.0076
21167,1.8645
21172,1.9172
21177,2.1874
21182,2.2306
21188,2.2327
21193,2.1361
21198,2.0235
21203,1.87
21208,1.7756
21214,1.7127
21219,1.6961
21224,1.6076
21229,1.6144
21234,1.52
21240,1.37
21245,1.3322
21250,1.0439
21255,0.84173
21260,0.98681
21266,0.99778
21271,0.90666
21276,0.73487
21281,0.66945
21286,0.53171
21292,0.44547
21297,0.34016
21302,0.26009
21307,0.134
21313,0.059557
21318,0.14899
21323,0.33004
21328,0.62547
21333,0.87989
21339,0.82465
21344,1.0873
21349,1.2832
21354,1.388
21359,1.565
21365,1.7344
21370,1.8532
21375,2.0046
21380,2.0322
21385,2.1097
21391,2.2358
21396,2.2871
21401,2.3452
21406,2.3379
21411,2.3048
21417,2.3698
21422,2.3787
21427,2.4068
21432,2.443
21438,2.4489
21443,2.4375
21448,2.5107
21453,2.4465
21458,2.4965
21464,2.5346
21469,2.5607
21474,2.5079
21479,2.4246
21484,2.4401
21490,2.4984
21495,2.4444
21500,2.4017
21505,2.3857
21510,2.4043
21516,2.4627
21521,2.4774
21526,2.4124
21531,2.2977
21536,2.3317
21542,2.2589
21547,2.2167
21552,2.1763
21557,2.1624
21563,2.1782
21568,2.0804
21573,2.0517
21578,1.9923
21583,1.9915
21589,1.8834
21594,1.8543
21599,1.8339
21604,1.7771
21609,1.8122
21615,1.7091
21620,1.6616
21625,1.5932
21630,1.534
21635,1.4493
21641,1.3194
21646,1.2752
21656,1.0862
21661,0.9826
21667,0.86817
21672,0.74811
21677,0.63029
21682,0.47705
21687,0.33458
21693,0.21921
21698,0.061206
21703,0.070042
21708,0.19544
21714,0.34508
21719,0.55426
21724,0.72343
21729,0.89591
21734,1.0004
21740,1.0735
21745,1.2424
21750,1.387
21755,1.4984
21760,1.6452
21766,1.6885
21771,1.8061
21776,1.9616
21781,2.038
21786,2.1298
21792,2.16
21797,2.0948
21802,2.0578
21807,2.0119
21813,2.1452
21818,2.4089
21823,2.4464
21828,2.3854
21833,2.5708
21839,2.3559
21844,2.344
21849,2.4592
21854,2.6751
21859,2.6945
21865,2.7764
21870,2.7773
21875,2.721
21880,2.6672
21885,2.7024
21891,2.6109
21896,2.6261
21901,2.6405
21906,2.6228
21911,2.6654
21917,2.6499
21922,2.6988
21927,2.6148
21932,2.5187
21938,2.4397
21943,2.5636
21948,2.5916
21953,2.5869
21958,2.4797
21964,2.3765
21969,1.9481
21974,1.859
21979,2.0947
21984,2.1384
21990,1.9774
21995,1.9755
22000,1.7628
22005,1.7419
22010,1.6751
22016,1.6061
22021,1.5557
22026,1.4708
22031,1.3615
22036,1.2404
22042,1.1613
22047,1.0157
22052,0.97848
22057,0.8936
22062,0.6485
22068,0.62691
22073,0.57453
22078,0.46725
22083,0.40558
22089,0.39968
22094,0.26276
22099,0.17697
22104,0.021468
22109,0.078583
22115,0.17398
22120,0.29158
22125,0.47042
22130,0.62543
22135,0.92522
22141,1.0577
22146,0.99787
22151,1.2268
22156,1.4181
22161,1.5293
22167,1.6897
22172,1.9296
22177,1.9655
22182,2.0475
22187,2.1128
22193,2.1919
22198,2.1897
22203,2.2748
22208,2.356
22214,2.3341
22219,2.3978
22224,2.321
22229,2.3561
22234,2.4405
22240,2.3843
22245,2.455
22250,2.418
22255,2.4426
22260,2.5175
22266,2.4814
22271,2.4294
22276,2.5079
22281,2.4946
22286,2.4675
22292,2.3642
22297,2.3848
22302,2.3566
22307,2.3394
22312,2.2912
22318,2.3216
22323,2.3012
22328,2.2107
22333,2.1706
22339,2.1954
22344,2.157
22349,2.1295
22354,2.1531
22359,2.0601
22365,2.0199
22370,1.9776
22375,1.9291
22380,1.8655
22385,1.8396
22391,1.7559
22396,1.7266
22401,1.6594
22406,1.5928
22411,1.539
22417,1.488
22422,1.4448
22427,1.3609
22432,1.2909
22437,1.2242
22443,1.1422
22448,1.0853
22453,0.94646
22458,0.84309
22464,0.75682
22469,0.62219
22474,0.52167
22479,0.35732
22484,0.21782
22490,0.12243
22495,0.027386
22500,0.30609
22505,0.48981
22510,0.58972
22516,0.70383
22521,0.82722
22526,0.94488
22531,0.98504
22536,1.1169
22542,1.2475
22547,1.333
22552,1.4185
22557,1.4688
22562,1.5855
22568,1.7457
22573,1.8793
22578,1.9227
22583,1.9504
22589,2.0327
22594,2.0403
22599,2.0441
22604,2.0105
22609,1.9843
22615,1.9682
22620,2.0449
22625,2.1108
22630,2.082
22635,2.0983
22641,1.9716
22646,1.7519
22651,2.0539
22656,2.1802
22661,2.1572
22667,2.2415
22672,2.2664
22677,2.3319
22682,2.344
22688,2.3163
22693,2.211
22698,2.2012
22703,2.1393
22708,2.1293
22714,2.0523
22719,1.9817
22724,1.8732
22729,1.7293
22734,1.619
22740,1.7685
22745,1.9251
22750,2.0102
22755,1.9468
22760,1.9097
22766,1.7916
22771,1.4364
22776,1.3848
22781,1.3044
22786,1.3187
22792,1.2055
22797,1.1431
22802,1.0624
22807,1.0248
22812,0.92935
22818,0.8712
22823,0.81585
22828,0.77503
22833,0.63826
22839,0.61768
22844,0.52982
22849,0.45336
22854,0.33331
22859,0.24223
22865,0.085364
22870,0.027497
22875,0.090698
22880,0.17779
22885,0.35043
22891,0.67042
22896,0.73672
22901,0.82479
22906,0.97245
22911,1.1458
22917,1.2674
22922,1.4847
22927,1.6177
22932,1.7684
22937,1.8066
22943,1.8887
22948,2.0187
22953,2.0544
22958,2.1549
22964,2.2092
22969,2.2137
22974,2.2196
22979,2.1924
22984,2.2279
22990,2.2862
22995,2.3096
23000,2.3137
23005,2.3737
23010,2.2954
23016,2.3382
23021,2.3077
23026,2.254
23031,2.3248
23036,2.2967
23042,2.433
23047,2.3547
23052,2.279
23057,2.2174
23062,2.2036
23068,2.2293
23073,2.1992
23078,2.1603
23083,2.1827
23089,2.0956
23094,2.0724
23099,2.0533
23104,2.034
23109,1.9897
23115,2.0208
23120,1.9829
23125,1.9476
23130,1.8499
23135,1.7778
23141,1.7264
23146,1.7906
23151,1.6942
23156,1.6212
23161,1.5512
23167,1.5324
23172,1.4341
23177,1.3754
23182,1.2761
23187,1.2079
23193,1.1026
23198,1.0994
23203,1.0552
23208,0.90666
23214,0.84148
23219,0.73125
23224,0.63189
23229,0.52062
23234,0.42149
23240,0.24398
23245,0.11507
23250,0.038112
23255,0.1608
23260,0.31154
23266,0.4536
23271,0.59335
23276,0.71251
23281,0.8584
23286,0.96726
23292,1.0858
23297,1.205
23302,1.3107
23307,1.4216
23312,1.5207
23318,1.6123
23323,1.7781
23328,1.8595
23333,1.9261
23339,2.0209
23344,2.1404
23349,2.1066
23354,1.9296
23359,1.8525
23365,2.1812
23370,2.2323
23375,2.204
23380,2.0768
23385,2.0794
23391,2.1662
23396,2.1399
23401,2.4041
23406,2.4212
23411,2.45
23417,2.6201
23422,2.6705
23427,2.6317
23432,2.5319
23438,2.5411
23443,2.5111
23448,2.5357
23453,2.4273
23458,2.424
23464,2.1972
23469,2.4005
23474,2.232
23479,2.2349
23484,2.2385
23490,2.099
23495,2.0258
23500,1.8948
23505,1.986
23510,2.0216
23516,2.182
23521,2.3565
23526,2.2917
23531,2.1828
23536,2.1436
23542,2.1004
23547,2.0113
23552,1.9546
23557,1.8859
23562,1.8047
23568,1.6103
23573,1.6186
23578,1.5319
23583,1.4134
23589,1.3687
23594,1.2826
23599,1.1921
23604,1.1132
23609,1.0193
23615,0.88929
23620,0.75396
23625,0.66054
23630,0.53796
23635,0.40953
23641,0.30969
23646,0.2726
23651,0.18119
23656,0.16117
23661,0.078341
23667,0.09694
23672,0.21291
23677,0.46964
23682,0.57395
23688,0.78674
23693,0.88069
23698,0.91537
23703,1.1836
23708,1.3111
23714,1.5216
23719,1.6955
23724,1.8208
23729,1.8984
23734,1.9887
23740,2.0338
23745,2.1508
23750,2.1954
23755,2.252
23760,2.2964
23766,2.3203
23771,2.3046
23776,2.2986
23781,2.3786
23786,2.3826
23792,2.431
23797,2.4469
23802,2.3994
23807,2.4579
23813,2.3848
23818,2.3523
23823,2.4432
23828,2.4776
23833,2.4332
23839,2.4085
23844,2.4029
23849,2.3267
23854,2.3489
23859,2.2603
23865,2.2487
23870,2.2333
23875,2.2028
23880,2.1835
23885,2.1785
23891,2.1442
23896,2.16
23901,2.1255
23906,2.1486
23911,2.1661
23917,1.9734
23922,2.0569
23927,1.9481
23932,1.899
23938,1.8582
23943,1.8219
23948,1.8259
23953,1.7155
23958,1.6223
23964,1.572
23969,1.4905
23974,1.5455
23979,1.4693
23984,1.3944
23990,1.3061
23995,1.321
24000,1.2146
24005,1.1017
24010,1.0105
24016,0.88949
24021,0.79939
24026,0.69452
24031,0.56456
24036,0.48102
24042,0.36262
24047,0.21862
24052,0.12198
24057,0.025338
24063,0.14481
24068,0.30485
24073,0.41873
24078,0.5539
24083,0.70662
24089,0.88073
24094,0.98803
24099,0.93417
24104,1.1052
24109,1.2484
24115,1.3423
24120,1.4017
24125,1.5014
24130,1.6191
24135,1.78
24141,1.867
24146,1.9086
24151,1.9767
24156,1.9938
24161,1.9939
24167,2.0351
24172,2.0353
24177,2.0159
24182,1.9244
24188,2.0162
24193,1.9971
24198,1.9901
24203,1.9351
24208,1.9881
24214,1.8951
24219,1.7039
24224,1.9674
24229,2.0212
24234,2.1223
24240,2.2304
24245,2.3251
24250,2.273
24255,2.1849
24260,2.2415
24266,2.147
24271,2.1276
24276,2.1837
24281,2.054
24286,1.9897
24292,1.8892
24297,1.8311
24302,1.6012
24307,1.3247
24313,1.6424
24318,1.4009
24323,1.7059
24328,1.7118
24333,1.4256
24339,1.1523
24344,1.1499
24349,1.177
24354,1.2478
24359,1.1094
24365,1.1119
24370,1.0112
24375,1.0242
24380,0.96646
24385,0.82231
24391,0.86748
24396,0.83109
24401,0.70573
24406,0.4856
24411,0.46439
24417,0.43932
24422,0.3606
24427,0.30356
24432,0.1951
24438,0.027581
24443,0.077219
24448,0.19589
24453,0.26904
24458,0.4123
24464,0.67597
24469,0.68255
24474,0.67935
24479,0.83968
24484,1.1193
24490,1.3069
24495,1.4425
24500,1.6298
24505,1.7591
24510,1.8106
24516,1.8257
24521,1.8995
24526,1.9861
24531,2.0171
24536,2.0788
24542,2.1243
24547,2.133
24552,2.1067
24557,2.1609
24563,2.1804
24568,2.1898
24573,2.2349
24578,2.209
24583,2.2016
24589,2.2475
24594,2.2668
24599,2.2816
24604,2.2614
24609,2.2629
24615,2.2519
24620,2.1944
24625,2.1643
24630,2.12
24635,1.9831
24641,1.9731
24646,1.9546
24651,1.8929
24656,1.9402
24661,1.9307
24667,1.9067
24672,1.8941
24677,1.8596
24682,1.7697
24688,1.8301
24693,1.7433
24698,1.6968
24703,1.6692
24708,1.631
24714,1.5439
24719,1.5013
24724,1.4263
24729,1.3656
24734,1.2864
24740,1.2302
24745,1.1632
24750,1.0914
24755,1.0353
24760,0.94956
24766,0.84813
24771,0.76845
24776,0.65832
24781,0.56999
24786,0.47435
24792,0.34737
24797,0.24335
24802,0.11234
24807,0.096645
24813,0.10768
24818,0.27363
24823,0.5091
24828,0.60746
24833,0.68593
24839,0.8139
24844,0.91021
24849,0.93441
24854,1.0648
24859,1.1805
24865,1.3293
24870,1.4152
24875,1.4726
24880,1.5778
24885,1.704
24891,1.8174
24896,1.8779
24901,1.9714
24906,1.9923
24911,1.9816
24917,1.95
24922,1.8381
24927,1.8727
24932,1.9786
24938,2.001
24943,1.8263
24948,1.8794
24953,2.0194
24958,1.8975
24964,1.9501
24969,1.9627
24974,2.1219
24979,2.141
24984,2.1608
24990,2.1685
24995,2.2019
25000,2.1547
25005,2.2644
25010,2.4461
25016,2.2548
25021,2.4505
25026,2.1319
25031,2.164
25036,2.1014
25042,2.2302
25047,2.151
25052,2.0433
25057,1.9876
25063,1.9438
25068,2.0138
25073,2.2126
25078,2.1609
25083,2.0465
25089,2.0256
25094,2.0924
25099,2.001
25104,1.8432
25109,1.8002
25115,1.7589
25120,1.6691
25125,1.6208
25130,1.5194
25135,1.3835
25141,1.1637
25146,1.232
25151,1.1746
25156,1.121
25161,1.057
25167,0.90068
25172,0.78724
25177,0.69187
25182,0.65053
25188,0.56057
25193,0.40622
25198,0.3332
25203,0.35411
25208,0.18172
25214,0.08856
25219,0.04811
25224,0.109
25229,0.22287
25234,0.48213
25240,0.69155
25245,0.87767
25250,0.86735
25255,1.074
25260,1.2388
25266,1.4355
25271,1.5933
25276,1.7567
25281,1.8096
25286,1.8643
25292,1.9957
25297,2.0419
25302,2.1191
25307,2.1822
25313,2.229
25318,2.2858
25323,2.2083
25328,2.2728
25333,2.2916
25339,2.343
25344,2.3952
25349,2.3887
25354,2.4308
25359,2.42
25365,2.4277
25370,2.5065
25375,2.4695
25380,2.4345
25385,2.5106
25391,2.4875
25396,2.4499
25401,2.4153
25406,2.3551
25411,2.2846
25417,2.187
25422,2.207
25427,2.2243
25432,2.1823
25438,2.2058
25443,2.1757
25448,2.2031
25453,2.1994
25458,2.0601
25464,2.1171
25469,2.0994
25474,2.0554
25479,2.0349
25484,1.9359
25490,1.9119
25495,1.8577
25500,1.8258
25505,1.8378
25510,1.7281
25516,1.6824
25521,1.656
25526,1.5908
25531,1.5664
25536,1.536
25542,1.5044
25547,1.411
25552,1.4139
25557,1.286
25563,1.2545
25568,1.1579
25573,1.09
25578,1.0014
25583,0.92092
25589,0.83839
25594,0.7232
25599,0.63158
25604,0.52355
25609,0.40838
25615,0.29806
25620,0.15539
25625,0.082664
25630,0.071001
25635,0.21352
25641,0.33196
25646,0.48652
25651,0.61673
25656,0.79576
25661,0.93426
25667,0.9116
25672,1.0529
25677,1.1485
25682,1.2086
25688,1.354
25693,1.4435
25698,1.5837
25703,1.7506
25708,1.8404
25714,1.881
25719,1.9311
25724,1.9753
25729,2.0519
25734,2.0756
25740,2.001
25745,1.9995
25750,1.8888
25755,1.7929
25760,1.8121
25766,1.7756
25771,2.0156
25776,2.0419
25781,2.0358
25786,1.9117
25792,1.759
25797,1.9142
25802,2.0688
25807,2.1817
25813,2.2469
25818,2.1364
25823,2.1773
25828,2.1477
25833,2.1209
25839,2.089
25844,2.1156
25849,2.0491
25854,1.9757
25859,2.004
25865,1.964
25870,1.8846
25875,1.7436
25880,1.8523
25885,1.7667
25891,1.8004
25896,1.6102
25901,1.427
25906,1.4206
25911,1.5776
25917,1.3374
25922,1.2702
25927,1.3636
25932,1.3367
25938,1.3063
25943,1.2346
25948,1.0741
25953,1.0379
25958,0.97345
25964,0.9292
25969,0.81867
25974,0.71805
25979,0.62672
25984,0.61091
25990,0.49599
25995,0.49794
26000,0.38608
26005,0.29802
26010,0.25167
26016,0.085234
26021,0.074291
26026,0.089853
26031,0.18623
26036,0.28319
26042,0.368
26047,0.5744
26052,0.91388
26057,0.81964
26063,0.73281
26068,1.102
26073,1.3544
26078,1.449
26083,1.614
26089,1.6703
26094,1.7713
26099,1.7073
26104,1.8238
26109,1.9068
26115,1.9644
26120,2.0107
26125,2.0293
26130,2.0812
26135,2.0752
26141,2.0936
26146,2.1034
26151,2.0864
26156,2.1458
26161,2.1174
26167,2.1006
26172,2.1406
26177,2.1242
26182,2.1597
26188,2.1279
26193,2.1319
26198,2.1226
26203,2.0794
26208,2.1018
26214,2.0079
26219,1.9047
26224,1.8236
26229,1.8135
26234,1.8234
26240,1.7785
26245,1.7785
26250,1.7807
26255,1.7515
26260,1.729
26266,1.6932
26271,1.6486
26276,1.6337
26281,1.579
26286,1.5246
26292,1.4644
26297,1.4178
26302,1.3231
26307,1.2917
26313,1.1951
26318,1.1121
26323,1.0233
26328,0.95332
26333,0.85986
26339,0.78618
26344,0.68007
26349,0.59121
26354,0.49542
26359,0.41589
26365,0.28903
26370,0.19744
26375,0.12056
26380,0.098448
26385,0.13185
26391,0.36029
26396,0.43368
26401,0.55551
26406,0.67714
26411,0.81227
26417,0.92033
26422,1.0744
26427,1.178
26432,1.2956
26438,1.3139
26443,1.4037
26448,1.4945
26453,1.6138
26458,1.7387
26464,1.7841
26469,1.7954
26474,1.8604
26479,1.8695
26484,2.0009
26490,2.0858
26495,2.0321
26500,1.8653
26505,1.7892
26510,1.9675
26516,2.0555
26521,2.0871
26526,2.0292
26531,1.8419
26536,1.7938
26542,2.044
26547,2.1415
26552,2.2232
26557,2.2538
26563,2.0566
26568,2.0667
26573,1.9405
26578,1.7086
26583,1.6284
26589,1.9047
26594,1.9717
26599,2.0273
26604,1.9233
26609,1.7989
26615,1.6901
26620,1.6825
26625,1.7546
26630,1.7783
26635,1.9591
26641,1.5814
26646,1.8143
26651,1.7707
26656,1.8309
26661,1.7204
26667,1.7176
26672,1.6707
26677,1.5688
26682,1.5012
26688,1.407
26693,1.2477
26698,1.3295
26703,1.335
26708,1.2768
26714,1.2225
26719,1.0786
26724,0.94924
26729,0.87835
26734,0.69043
26740,0.68743
26745,0.61427
26750,0.58413
26755,0.5143
26760,0.37633
26766,0.372
26771,0.32018
26776,0.1952
26781,0.068065
26786,0.11837
26792,0.28342
26797,0.54746
26802,0.67227
26807,0.77892
26813,0.86365
26818,1.0715
26823,1.2896
26828,1.5094
26833,1.7092
26839,1.771
26844,1.8409
26849,1.9068
26854,1.9983
26859,2.0924
26865,2.1617
26870,2.2428
26875,2.2885
26880,2.2764
26885,2.3346
26891,2.2484
26896,2.2887
26901,2.3313
26906,2.3438
26911,2.2837
26917,2.374
26922,2.4863
26927,2.5007
26932,2.5353
26938,2.5782
26943,2.5727
26948,2.3871
26953,2.4623
26958,2.3526
26964,2.2668
26969,2.2473
26974,2.1267
26979,2.2036
26984,2.2313
26990,2.2
26995,2.1855
27000,2.2676
27005,2.2537
27010,2.1566
27016,2.1888
27021,2.1513
27026,2.1268
27031,2.1413
27036,2.0677
27042,2.0563
27047,2.0233
27052,1.9624
27057,1.9757
27063,1.8762
27068,1.8409
27073,1.8459
27078,1.8573
27083,1.7829
27089,1.7681
27094,1.6875
27099,1.6358
27104,1.6043
27109,1.5904
27115,1.4909
27120,1.4202
27125,1.3869
27130,1.3207
27135,1.2048
27141,1.1394
27146,1.0624
27151,0.97346
27156,0.86646
27161,0.77799
27167,0.70568
27172,0.60031
27177,0.49561
27182,0.40024
27188,0.28848
27193,0.16868
27198,0.059842
27203,0.055156
27208,0.16918
27214,0.2909
27219,0.46389
27224,0.60246
27229,0.76959
27234,0.93582
27240,1.1044
27245,1.2432
27250,1.2591
27255,1.1494
27260,1.2474
27266,1.4449
27271,1.5793
27276,1.7637
27281,1.8797
27286,1.9453
27292,2.0293
27297,2.0638
27302,2.0797
27307,2.0847
27313,2.0774
27318,2.0588
27323,2.1089
27328,2.2068
27333,2.2641
27339,2.2663
27344,2.0928
27349,2.0043
27354,1.8619
27359,1.9922
27365,2.0309
27370,2.2061
27375,2.3132
27380,2.4234
27385,2.348
27391,2.2922
27396,2.3634
27401,2.3034
27406,2.3553
27411,2.2979
27417,2.2421
27422,2.1793
27427,2.1035
27432,2.1275
27438,2.0151
27443,1.8713
27448,1.9672
27453,1.9084
27458,1.9805
27464,2.1298
27469,2.0006
27474,1.9974
27479,1.7966
27484,1.597
27490,1.5862
27495,1.5581
27500,1.4778
27505,1.4872
27510,1.3943
27516,1.2983
27521,1.3024
27526,1.2707
27531,1.1643
27536,1.1677
27542,1.0332
27547,0.97123
27552,0.99052
27557,0.89876
27563,0.75223
27568,0.53187
27573,0.56177
27578,0.4256
27583,0.34322
27589,0.23319
27594,0.27719
27599,0.23833
27604,0.16574
27609,0.051909
27615,0.051946
27620,0.1958
27625,0.34084
27630,0.52223
27635,0.70098
27641,0.71798
27646,0.7685
27656,1.3037
27661,1.4817
27667,1.5947
27672,1.6797
27677,1.6766
27682,1.7285
27688,1.845
27693,1.8852
27698,1.9156
27703,2.0663
27708,2.1202
27714,2.0921
27719,2.1393
27724,2.148
27729,2.1416
27734,2.1228
27740,2.1373
27745,2.1857
27750,2.143
27755,2.1467
27760,2.1484
27766,2.0783
27771,2.1307
27776,2.1777
27781,2.1479
27786,2.1585
27792,2.121
27797,2.0544
27802,2.048
27807,1.9687
27813,1.8814
27818,1.8114
27823,1.7547
27828,1.7389
27833,1.6947
27839,1.68
27844,1.6531
27849,1.6517
27854,1.5942
27859,1.514
27865,1.4921
27870,1.4433
27875,1.3939
27880,1.3247
27885,1.2594
27891,1.1947
27896,1.1008
27901,1.0122
27906,0.94624
27911,0.85699
27917,0.78189
27922,0.6836
27927,0.57212
27932,0.48196
27938,0.39423
27943,0.27947
27948,0.14333
27953,0.078941
27958,0.12481
27964,0.37701
27969,0.45366
27974,0.57511
27979,0.65266
27984,0.76869
27990,0.90722
27995,1.0655
28000,1.1305
28005,1.1904
28010,1.2968
28016,1.3934
28021,1.5019
28026,1.6304
28031,1.7613
28036,1.8396
28042,1.8689
28047,1.8917
28052,1.9834
28057,2.0777
28063,2.1432
28068,2.0498
28073,1.9604
28078,1.9167
28083,1.8629
28089,1.7586
28094,1.83
28099,2.052
28104,2.1229
28109,2.2945
28115,2.2555
28120,2.2949
28125,2.2739
28130,2.396
28135,2.3106
28141,2.2296
28146,2.0558
28151,1.8133
28156,2.1134
28161,1.9877
28167,1.892
28172,1.732
28177,1.6023
28182,1.5638
28188,1.6102
28193,1.76
28198,1.7933
28203,1.8209
28208,1.8413
28214,1.8489
28219,1.7869
28224,1.8323
28229,1.689
28234,1.7433
28240,1.7709
28245,1.6938
28250,1.574
28255,1.4498
28260,1.3594
28266,1.2904
28271,1.3171
28276,1.1726
28281,1.0501
28286,1.0271
28292,0.95866
28297,0.84266
28302,0.70948
28307,0.62077
28313,0.5043
28318,0.35394
28323,0.27108
28328,0.23941
28333,0.2382
28339,0.10419
28344,0.079139
28349,0.11335
28354,0.29311
28359,0.52134
28365,0.71424
28370,0.75005
28375,0.86086
28380,0.98895
28385,1.2904
28391,1.5298
28396,1.7496
28401,1.8456
28406,1.9059
28411,1.9084
28417,2.0303
28422,2.0923
28427,2.2057
28432,2.2508
28438,2.2977
28443,2.3672
28448,2.2703
28453,2.3023
28458,2.3472
28464,2.3481
28469,2.37
28474,2.43
28479,2.4515
28484,2.5234
28490,2.4515
28495,2.4587
28500,2.4736
28505,2.4157
28510,2.5763
28516,2.4552
28521,2.3684
28526,2.3909
28531,2.343
28536,2.2725
28542,2.3271
28547,2.3327
28552,2.3459
28557,2.3329
28563,2.2954
28568,2.2959
28573,2.2423
28578,2.2546
28583,2.3271
28589,2.1971
28594,2.2261
28599,2.1876
28604,2.1484
28609,2.1515
28615,2.0759
28620,2.0377
28625,2.034
28630,1.9901
28635,1.9804
28641,2.0128
28646,1.9534
28651,1.8761
28656,1.8019
28661,1.7481
28667,1.6831
28672,1.6464
28677,1.6001
28682,1.5378
28688,1.4716
28693,1.3928
28698,1.347
28703,1.2704
28708,1.1829
28714,1.1058
28719,1.0263
28724,0.92532
28729,0.83634
28734,0.72897
28740,0.6202
28745,0.52514
28750,0.41334
28755,0.29086
28760,0.18364
28766,0.062859
28771,0.072855
28776,0.18648
28781,0.28689
28786,0.41704
28792,0.56379
28797,0.75045
28802,0.89959
28807,1.0837
28813,1.2407
28818,1.3432
28823,1.4527
28828,1.5378
28833,1.5426
28839,1.5508
28844,1.5864
28849,1.8255
28854,1.9713
28859,2.0659
28865,2.1668
28870,2.1991
28875,2.2055
28880,2.2945
28885,2.4308
28891,2.4429
28896,2.4298
28901,2.3127
28906,2.3334
28911,2.018
28917,1.7992
28922,1.998
28927,2.3642
28932,2.5124
28938,2.4975
28943,2.5568
28948,2.556
28953,2.5303
28958,2.6442
28964,2.6043
28969,2.5827
28974,2.4855
28979,2.4322
28984,2.3792
28990,2.3625
28995,2.3265
29000,2.2857
29005,2.4553
29010,2.6314
29016,2.5925
29021,2.5387
29026,2.1708
29031,1.9326
29036,1.7902
29042,2.1074
29047,1.842
29052,1.7714
29057,1.6006
29063,1.5126
29068,1.5353
29073,1.5644
29078,1.4788
29083,1.5234
29089,1.5182
29094,1.4993
29099,1.412
29104,1.3586
29109,1.2867
29115,1.2687
29120,1.2343
29125,1.1584
29130,0.90681
29135,0.81557
29141,0.74056
29146,0.6216
29151,0.55715
29156,0.52557
29161,0.42746
29167,0.35311
29172,0.27707
29177,0.15306
29182,0.050792
29188,0.079577
29193,0.23146
29198,0.40941
29203,0.58869
29208,0.84018
29214,0.75756
29219,0.7387
29224,0.97297
29229,1.1917
29234,1.4276
29240,1.6172
29245,1.7454
29250,1.8402
29255,1.9137
29260,1.9218
29266,1.922
29271,2.0861
29276,2.0897
29281,2.1948
29286,2.2286
29292,2.1946
29297,2.1668
29302,2.2054
29307,2.1571
29313,2.221
29318,2.2066
29323,2.2313
29328,2.3036
29333,2.3164
29339,2.3134
29344,2.3072
29349,2.283
29354,2.2198
29359,2.2964
29365,2.1771
29370,2.1932
29375,2.1009
29380,2.0926
29385,2.0264
29391,1.9975
29396,1.9847
29401,1.9625
29406,1.9586
29411,1.8866
29417,1.8502
29422,1.792
29427,1.7451
29432,1.6415
29438,1.6273
29443,1.5845
29448,1.5444
29453,1.4494
29458,1.3688
29464,1.2503
29469,1.1983
29474,1.1257
29479,1.0199
29484,0.93033
29490,0.87023
29495,0.74617
29500,0.66055
29505,0.55935
29510,0.46744
29516,0.32239
29521,0.2302
29526,0.11204
29531,0.085549
29536,0.14737
29542,0.42606
29547,0.53802
29552,0.58187
29557,0.67459
29563,0.83239
29568,0.91693
29573,1.0685
29578,1.2042
29583,1.3333
29589,1.4603
29594,1.5506
29599,1.628
29604,1.7453
29609,1.8498
29615,1.912
29620,1.9162
29625,1.9896
29630,2.0315
29635,2.107
29641,2.1661
29646,2.1126
